x y z type diam age
1301.16 887.948 1747.95 1 0.0399968 20726.1
1301.15 888.2 1747.96 1 0.0387306 20729.1
1301.16 887.933 1747.99 1 0.0383357 20731.1
1301.18 888.13 1747.95 1 0.0397275 20732.1
1301.16 887.98 1747.97 1 0.0363216 20733.1
1301.15 888.243 1747.97 1 0.0387306 20735.1
1301.18 888.147 1747.91 1 0.0406829 20736.1
1301.18 888.179 1747.94 1 0.0397275 20738.1
1301.16 887.965 1748.01 1 0.0363216 20739.1
1301.16 887.986 1748.04 1 0.0363216 20742.1
1301.17 887.911 1747.95 1 0.0382003 20745.1
1301.16 887.935 1748.03 1 0.0379982 20746.1
1301.17 887.887 1747.98 1 0.0402145 20749.1
1301.14 887.918 1748.06 1 0.0379982 20750.1
1301.16 887.955 1748.06 1 0.0379982 20753.1
1301.17 888.09 1748.03 1 0.0381677 20756.1
1301.17 888.021 1748.05 1 0.0363216 20757.1
1301.17 887.918 1748.08 1 0.0379982 20759.1
1301.17 888.058 1748.05 1 0.0381677 20761.1
1301.15 888.22 1747.85 1 0.0365238 20762.1
1301.14 888.255 1747.86 1 0.0365238 20767.1
1301.13 888.258 1748.01 1 0.0377154 20768.1
1301.15 888.278 1747.8 1 0.0365065 20769.1
1301.14 888.221 1748 1 0.0389752 20770.1
1301.15 888.262 1747.92 1 0.0387306 20773.1
1301.15 888.311 1747.9 1 0.0408009 20775.1
1301.16 888.299 1747.77 1 0.0365065 20777.1
1301.14 888.195 1748.03 1 0.0426883 20779.1
1301.18 887.607 1747.92 1 0.0375624 20782.1
1301.17 887.893 1748.05 1 0.0379955 20783.1
1301.15 888.333 1747.78 1 0.0365065 20783.1
1301.15 887.66 1748.02 1 0.0383519 20783.1
1301.16 887.631 1747.99 1 0.0392229 20784.1
1301.18 887.959 1748.09 1 0.0379982 20786.1
1301.15 887.687 1748.05 1 0.0383519 20786.1
1301.18 888.295 1747.85 1 0.0365065 20787.1
1301.16 888.299 1747.94 1 0.0408009 20788.1
1301.15 888.318 1747.68 1 0.0380578 20790.1
1301.14 887.697 1748.09 1 0.0389543 20790.1
1301.16 887.561 1747.82 1 0.0431774 20791.1
1301.16 888.279 1747.98 1 0.0389752 20792.1
1301.17 887.615 1747.96 1 0.0375624 20793.1
1301.16 888.258 1748.03 1 0.0378008 20796.1
1301.17 887.571 1747.9 1 0.040389 20799.1
1301.16 887.591 1747.99 1 0.0392229 20799.1
1301.16 888.143 1748.01 1 0.0397275 20800.1
1301.2 887.707 1747.84 1 0.0408544 20801.1
1301.16 888.315 1748 1 0.0370299 20803.1
1301.13 888.19 1748.07 1 0.0428593 20805.1
1301.13 888.293 1748.02 1 0.0370299 20805.1
1301.14 888.34 1748.03 1 0.0363827 20809.1
1301.14 888.323 1748.06 1 0.0370299 20812.1
1301.18 888.222 1747.87 1 0.0365238 20818.1
1301.18 888.264 1747.87 1 0.0365238 20822.1
1295.92 895.147 1748.41 1 0.0400651 20824.1
1300.98 888.248 1747.89 1 0.0363684 20827.1
1301.14 887.564 1748.01 1 0.039148 20831.1
1300.97 888.273 1747.92 1 0.0380499 20838.1
1297.91 888.919 1750.17 1 0.0399135 20867.1
1297.98 888.701 1750.23 1 0.0365336 20873.1
1297.81 889.198 1750.18 1 0.0377799 20874.1
1300.95 888.291 1747.96 1 0.0365715 20889.1
