x y z sxx syy szz sxy sxz syz pp
1301.5 886.22 1746.4 -34117 -384765 -394133 -60301.2 -36212.3 16335 0
1301.51 883.413 1746.47 -113943 -573906 -519745 -48309.8 -56055.8 48513.5 0
1304.62 882.928 1748.88 -852142 -1.07281e+06 -1.37529e+06 -128485 -21385.7 72865.8 233505
1302.3 885.819 1746.08 -292879 -594245 -579501 -51967 -100408 13144 246350
1301.07 882.397 1748.79 -442937 -379685 -145734 -48306.7 -39629.8 -11471.3 0
1301.72 882.471 1747.3 -186436 -708113 -514331 -87392.8 110848 72789.3 0
1302.03 882.921 1747.35 -677444 -1.03e+06 -1.23681e+06 -72782.7 99474.5 70321.6 176341
1303.71 884.372 1745.92 -637345 -924178 -1.22602e+06 -81334.5 -280882 59025.3 256614
1302.36 884.247 1745.87 -663945 -963467 -1.24799e+06 -64924.8 -308964 65993.7 249910
1302.63 883.068 1748.66 -812669 -935313 -960327 -114621 126846 49938.5 224869
1302.43 884.584 1745.88 -710992 -995937 -1.34406e+06 -54835 -346793 22372.4 249875
1302.57 884.094 1748.71 -613351 -741199 -613344 -103348 135301 46985 223291
1300.74 886.094 1748.89 -962407 -541377 -438410 -36581.3 -27337.3 19232.3 0
1300.81 885.235 1749.25 -853077 -531045 -385757 -8649.1 -158594 17725 0
1302.81 885.467 1746.8 -695665 -1.004e+06 -1.32963e+06 -64006.5 -69093.1 59963.3 242215
1302.01 882.728 1745.98 -117742 -271843 -289171 -33126.9 -43209.6 7825.21 124414
1303.98 887.838 1748.21 -873185 -1.09049e+06 -1.41372e+06 -74884 -37583.5 102336 232884
1301.47 886.985 1746.47 -186152 -448505 -451550 -3998.98 -85945.6 -7679.47 0
1304.58 885.077 1749.39 -845246 -1.03528e+06 -1.29292e+06 -122441 -14207.5 60209 226639
1300.92 884.345 1749.2 -872715 -605828 -351275 -40367.1 -156655 -4570.86 0
1302 883.549 1745.6 -864111 -1.12717e+06 -1.59933e+06 -143245 -399220 17943.4 126003
1301.71 887.979 1749.31 -646117 -603958 -410656 -30811.1 -67163.7 93756.9 209776
1300.97 884.954 1748.56 -1.01741e+06 -752738 -340097 -48467.3 95108.8 11393.9 0
