x y z fx fy fz
1301.28 887.559 1745.41 2909.49 12668.5 -8062.96
1301.34 884.999 1744.99 -3936.62 2536.06 17619.7
1301.28 887.298 1745.92 -955.614 969.704 8873.17
1301.32 886.081 1745.6 -857.539 12616.7 -25031.4
1301.3 886.759 1745.63 1922.94 -3186.17 8440.6
1301.33 885.466 1745.54 567.267 4349.77 15266
1301.33 885.166 1745.84 -1219.66 3253.48 -9412.2
1301.33 885.565 1745.36 1123.96 6193.08 -7113.48
1301.34 885.268 1745.08 931.027 -6951.19 -17537.8
1301.34 885.145 1745.19 558.355 5928.05 -14526.3
1301.34 885.064 1745.21 1610.12 8525.02 201.284
1301.33 885.434 1745.39 2343.65 1319.23 5239.98
1301.32 885.488 1745.87 -1981.28 8585.36 5411.65
1301.34 884.981 1745.43 1909.36 -13351 19582.4
1301.34 884.99 1745.24 2682.93 -8870.24 14150.1
1301.28 887.448 1745.79 1047.72 5305.41 -16265.9
1301.29 887.391 1745.58 -860.508 522.812 -8693.12
1301.31 886.696 1745.11 5997.42 725.419 -4616.66
1301.33 886.119 1745.01 -12184.6 -951.238 -32167.2
1301.31 886.273 1745.75 -1250.78 1520.19 1812.76
1301.32 885.948 1745.52 319.283 -266.302 -2481.88
1301.26 887.859 1746.03 14803.5 -6340.07 18210
1301.25 888.255 1745.87 -52.9373 -9057.41 39965.8
1301.23 888.78 1745.99 385.011 5939.88 -15618.3
1301.33 885.551 1744.99 23070.6 -8295.03 11134
1301.31 886.196 1745.9 -875.283 5342.48 -13701.5
1301.31 886.545 1745.54 1272.58 1442.73 -32901.4
1301.24 888.613 1745.84 350.614 -1994.45 21596
1301.34 885.252 1745.19 636.352 6358.54 -21794.3
1301.27 887.856 1745.82 -1296.52 11336.2 -10036.4
1301.31 886.599 1745.44 3980.53 17.9624 -25311.9
1301.24 888.557 1746 1689.26 -379.451 8253.87
1301.33 885.522 1745.6 2139.97 -7198.79 25289.9
1301.29 887.084 1745.71 -281.653 15260.5 -11209.6
1301.3 887.091 1745.46 994.704 -261.484 -11764.1
1301.24 888.43 1745.79 2137.48 9251.35 -16540.1
1301.24 888.454 1745.87 1906.2 -9057.64 -11503.2
1301.3 887.102 1745.25 3280.84 8180.76 -9795.86
1301.31 886.116 1745.9 67.5488 7759.33 -22341
1301.22 888.853 1746.03 130.245 375.994 -19096.5
1301.31 886.44 1745.9 -2912.19 5293.64 -4056.95
1301.3 886.708 1745.54 1163.17 -4101.03 42619.7
1301.31 886.163 1745.75 224.302 2035.68 -23142.1
1301.28 887.513 1745.66 1068.15 -5688.15 -17133.2
1301.3 886.641 1745.85 46.1013 1436.91 1218.89
1301.33 885.66 1745.31 2305.08 -5411.39 -29849.7
1301.28 887.709 1745.54 384.989 -8755.11 15253.8
1301.18 885.564 1744.95 11134 11782.3 -193.559
1301.32 886.165 1745.4 521.334 5143.64 -27477.3
1301.32 885.971 1745.75 489.899 -251.236 27063.4
1301.22 889.004 1746.05 120.567 -4629.2 13474.5
1301.3 886.89 1745.4 997.757 993.736 -160.445
1296.06 875.761 1746.77 916.318 2360.93 15136.1
1299.87 901.06 1748.97 1879.36 2096.08 -7298.93
1296.24 868.395 1749.14 -14744.4 -1185.43 -9072.2
1299.17 901.804 1750.05 -11059.3 -4385.64 12998.5
1301.16 890.399 1745.23 -2863.51 1938.11 22265.6
1298.7 883.018 1750.17 -26408.4 -3809.07 -1648.38
1296.56 884.692 1748.74 1500.05 3753.65 8803.3
1298.96 904.578 1745.65 25543.5 4831.41 -16433.8
1295.02 865.744 1748.09 1096 -3945.88 3330.58
1298.94 906.458 1748.68 -97.8429 1777.63 -8134.27
1299.7 902.884 1745.74 18832.1 7363.78 6208.13
1300.92 893.614 1745.29 14279.4 -2248.97 13223.1
1300.65 880.237 1749.21 8790.06 10177.4 -17438
1294.7 865.267 1746.91 -811.046 967.208 -830.179
1300.12 872.017 1748.85 33028.3 -14756.6 21759.8
1295.85 871.411 1748.29 -5247.55 1715.33 -9085.33
1301.11 876.721 1744.81 -2846.26 -12866.1 67013.9
1295.67 871.667 1745.93 -427.412 3364.56 8538.11
1300.03 868.302 1748.06 -2215.94 4368.5 7638.42
1294.99 866.847 1744.38 102.287 -2289.4 5851.6
1297.37 875.066 1749.61 -6325.14 -1684.01 -2462.88
1300.97 875.061 1746.35 -2091.47 -1530.45 5463.5
1299.75 865.306 1744.73 -167.402 -3488.38 -3359.38
1295.18 868.049 1747.38 -1017.25 -3313.5 6630.8
1296.35 881.877 1747.21 -72.9512 -90.7018 -3618.07
1294.92 866.479 1745.68 -689.724 -4314.92 -3156.23
1299.07 861.801 1745.15 830.152 3368.33 -16376.5
1299.83 867.648 1744.28 21733.6 1770.5 -3493.59
1295.35 869.269 1746.82 -443.805 -1085.32 -7165.04
1294.14 862.406 1747.06 -850.936 -2683.43 -2143.57
1297.72 907.56 1750.57 1708 -326.711 -529.608
1298.14 863.914 1749.18 1100.82 -5918.01 -2165.69
1300.36 870.053 1747.86 -2144.77 -5404.68 247.088
1300.94 874.57 1745.43 274.51 -3015.62 33821.8
1299.91 867.163 1747.89 5411.15 11311.1 -16364.5
1300.84 894.233 1746.94 1331.52 14209.9 -22968.8
1300 867.259 1747.59 2042.15 -2224.51 -18597.9
1300.19 880.071 1749.62 -3577.88 430.81 87.4013
1294.77 865.59 1745.66 -500.498 -4012.38 -2854.79
1296.84 868.555 1749.46 12150.2 4788.17 4355.34
1295.51 868.432 1748.29 -89.481 4613.31 -183.434
1301.31 884.252 1747.74 7492.28 -9747.76 14651.8
1295.44 869.859 1745.42 1028.41 -1591.69 6862.23
1297.34 867.81 1749.59 -17309.5 -2405.28 -3394.63
1299.4 863.518 1747 -1311.65 -3738.16 -4849.76
1298.57 906.456 1745.72 24379.6 -5616.81 -19462.1
1301.3 883.893 1747.93 1107.53 16891.6 -23958.5
1295.78 872.694 1746.02 1517.51 5322.19 5714.64
1299.7 902.85 1745.63 45352.9 20061 -27444.2
1300.59 896.763 1745.73 2436.84 -8248.2 8915.15
1296.2 873.952 1744.46 39963.2 -18239.2 -483.412
1301.21 889.197 1745.92 485.41 -8216.85 -9766.45
1295.64 871.537 1747.07 -714.206 -1270.61 -10640.4
1299.2 905.324 1747.99 5.64233 -2611.1 24246.6
1299.49 876.066 1749.74 2276.36 4224.94 -926.546
1300.84 873.664 1747.18 -2633.59 -6832.9 -1832.17
1295.05 867.273 1747.22 1441.92 -4890.06 6331.82
1300.61 872.681 1748.1 3415.08 -3938.82 -13268.8
1301.26 880.404 1747.29 87.7888 -5.56875 10.0689
1299.74 865.269 1744.5 -146.581 -4974.98 20334.7
1298.26 909.697 1746.65 6845.25 914.172 3083.32
1298.86 907.161 1745.96 3290.63 -1993.25 116.423
1300.96 892.93 1746.29 -1472.38 11459.1 -17387.2
1299.37 874.383 1749.67 17048 3575.37 -7512.96
1295.12 866.242 1748.13 1258.06 -7670.08 8928.72
1297.87 869.816 1749.68 8548.11 4419.61 616.03
1296.1 874.201 1744.46 -25884.1 10256.3 -2241.71
