x y z nx ny nz state
1301 879.87 1746.4 -0.0618611 -0.276523 0.959014 1
1301.05 876.778 1745.62 0.338092 -0.119155 0.933539 1
1301.05 876.775 1745.55 0.394834 -0.194497 -0.897929 1
1301.27 884.277 1747.57 -0.109784 0.979035 0.171572 1
1301.27 884.207 1747.55 -0.0657328 -0.926218 -0.371214 1
1293.72 908.65 1746.77 -0.0844009 -0.817381 -0.569882 1
1293.72 908.695 1746.84 -0.0433996 0.260666 0.964453 1
1293.73 908.646 1746.81 0.210493 -0.909526 0.358406 1
1293.69 908.706 1746.78 -0.802069 0.513657 -0.3047 1
1300.87 874.549 1745.42 -0.756819 -0.608274 -0.239222 1
1300.88 874.6 1745.41 -0.637986 0.687796 -0.346281 1
1298.79 865.388 1748.94 0.786057 -0.283843 -0.549133 1
1301.02 890.874 1747.26 -0.866241 -0.498991 0.025204 1
1301.19 879.249 1746.75 -0.0854824 -0.505773 0.858421 1
1301.16 879.258 1746.71 -0.928824 -0.269939 -0.253809 1
1300.58 873.74 1748.31 -0.915788 0.0546208 -0.397931 1
1300.59 873.759 1748.34 -0.641489 0.604053 0.472877 1
1295.48 897.998 1747.15 0.710098 0.000478938 -0.704103 1
1298.85 862.187 1746.18 -0.56684 -0.596728 -0.567987 1
1300.66 893.475 1748.82 -0.843767 -0.132609 -0.520069 1
1300.71 893.44 1748.84 0.321391 -0.925115 -0.202163 1
1301.04 891.021 1745.47 -0.994706 -0.0874966 -0.0538991 1
1301.22 884.249 1747.73 -0.998188 -0.0591411 -0.0111088 1
1301.27 884.218 1747.76 0.0424782 -0.766803 0.640475 1
1301.27 884.288 1747.71 0.0278647 0.844235 -0.535248 1
1301 876.304 1747.34 0.36872 0.634576 0.679234 1
1300.35 896.567 1749.05 0.326794 -0.438171 0.837384 1
1300.36 896.583 1749 0.780964 0.00680431 -0.624538 1
1301.06 876.681 1745.8 0.0571916 -0.171371 -0.983545 1
1301.03 876.72 1745.83 -0.515015 0.781831 -0.351425 1
1299.65 901.406 1748.7 0.925725 0.37447 -0.0529751 1
1299.6 901.365 1748.71 -0.479352 -0.757414 0.443335 1
1299.8 871.801 1748.8 -0.803359 0.424095 0.41804 1
1299.83 871.822 1748.78 -0.0673879 0.996181 0.0555151 1
1300.88 893.068 1746.96 -0.440841 -0.204236 0.874041 1
1301.1 889.506 1747.19 0.892647 -0.251605 -0.374001 1
1300.23 883.089 1749.57 0.717643 -0.0787153 0.691949 1
1299.02 862.378 1745.95 0.830741 -0.526758 0.179987 1
1300.59 895.846 1747.46 0.769181 0.429232 0.473415 1
1300.63 872.237 1747.24 -0.722562 0.54892 0.420227 1
1299.66 902.876 1745.65 -0.183887 0.88415 0.429493 1
1301.27 883.475 1746.44 0.348391 0.917075 -0.193898 1
1294.72 902.847 1747.62 -0.863328 0.177129 -0.472536 1
1294.72 902.81 1747.64 -0.696301 -0.717607 0.014328 1
1300.52 894.967 1748.3 0.443797 -0.822079 0.356694 1
1299.93 876.773 1749.51 0.49052 -0.812862 -0.314079 1
1299.93 876.806 1749.49 0.46966 -0.0464175 -0.881626 1
1300.53 871.291 1747 0.533331 -0.80658 -0.254927 1
1293.67 907.932 1749.08 0.932037 0.0534189 0.358403 1
1300.63 871.997 1745.91 0.311145 0.634309 0.707701 1
1301.09 878.193 1746.63 0.935991 0.0561825 -0.347512 1
