x y z sxx syy szz sxy sxz syz pp
1298.51 883.754 1764.16 -1.01426e+06 -968585 -834287 -25735.4 -286462 77956.9 0
1300.07 887.969 1760.73 -868397 -879296 -850972 -43206.9 -260791 96259.1 0
1298.73 883.288 1761.63 -966735 -932928 -875205 -44825.7 -310442 73235.7 0
1298.26 882.397 1762.15 -970875 -938111 -873610 -43887.1 -309902 78580.7 0
1298.51 882.604 1763.25 -979987 -936093 -822058 -26936.4 -276106 72091.7 0
1298.73 882.281 1762.58 -992839 -952271 -866875 -33058.5 -286388 74721.2 0
1298.22 883.666 1765.19 -1.03868e+06 -982462 -855007 -21294.4 -272863 79950.2 0
1300.45 884.526 1761.51 -898133 -924804 -865910 -21801 -235684 92422.4 0
1296.91 884.888 1761.35 -888496 -904028 -861249 -57940 -343184 69154.5 0
1297.52 885.787 1761.88 -970654 -947835 -867299 -42919.3 -305021 80565.9 0
1299.63 883.593 1763.36 -1.01489e+06 -967734 -882719 -28329.2 -262107 80961.8 0
1297.14 883.411 1761.54 -920200 -916535 -882407 -39489.4 -331291 67133.8 0
1297.97 885.19 1768.88 -1.10257e+06 -1.04635e+06 -820192 -4185.7 -295173 107924 0
1298.97 884.907 1761.28 -906752 -897631 -833392 -46931.5 -282058 96044.6 0
1300.32 884.54 1766.25 -1.04675e+06 -986683 -848035 -10375.2 -254141 96289.6 0
1298.55 884.276 1765.91 -1.05155e+06 -1.00142e+06 -842493 -25525.2 -273255 80601.3 0
1297.84 886.122 1761.37 -910439 -919974 -827570 -38639.3 -327795 76571.5 0
1299.39 882.104 1761.94 -956792 -951902 -851582 -40804.6 -288272 62621 0
1298.27 883.665 1761.54 -943440 -915064 -855521 -52101.2 -320462 82385.3 0
1298.75 886.434 1762.56 -983266 -945623 -865577 -42163.3 -283066 95953.9 0
1297.97 886.712 1767.25 -1.06167e+06 -1.0134e+06 -834030 -15799.2 -290652 106093 0
1296.86 885.322 1764 -1.01666e+06 -968829 -834568 -30191.8 -312411 90904.9 0
1298.08 885.708 1761.08 -878146 -886729 -813744 -52738.2 -333305 81106.4 0
1297.17 887.624 1762.91 -963954 -938325 -829137 -54492.4 -320992 97753.7 0
1300.17 886.524 1761.06 -879296 -910509 -872844 -48031 -247051 89137.7 0
1299.04 882.71 1764.4 -1.02487e+06 -975566 -865723 -30239.4 -281315 82745.7 0
1299.82 885.015 1768.46 -1.08012e+06 -1.03811e+06 -821197 -19569.7 -258597 103477 0
1297.71 887.151 1763.52 -1.00703e+06 -971067 -815076 -28492.6 -303838 89884.2 0
1300.01 882.398 1765.89 -1.03621e+06 -986622 -873197 -18241.7 -250730 75991.3 0
1299.34 887.578 1763.12 -1.00219e+06 -965264 -852132 -43944.4 -270165 99005.5 0
1297.62 885.878 1763.82 -1.03125e+06 -979785 -869714 -29184.7 -297566 96786.4 0
1297.95 886.046 1762.71 -957321 -926225 -806017 -42011.5 -310161 79832.8 0
1298.76 887.955 1763.63 -1.01359e+06 -965744 -804818 -31490.2 -281475 105707 0
1298.61 887.066 1767.96 -1.09226e+06 -1.02382e+06 -811956 -24032.6 -267595 109770 0
1297.01 882.824 1761.65 -928360 -919649 -885297 -45475 -328221 75454.6 0
1297.5 887.5 1767.66 -1.08199e+06 -1.04326e+06 -825891 -1302.98 -299095 115233 0
1297.48 886.386 1763.16 -1.00388e+06 -954526 -819711 -29069.8 -304518 79592.8 0
1297.48 883.619 1768.99 -1.09728e+06 -1.02737e+06 -808943 -9374.3 -290735 108576 0
1299.1 885.482 1761.17 -911880 -900091 -841315 -58186.3 -285229 86881.5 0
1299.92 882.319 1761.92 -909394 -927831 -857686 -26629.2 -242806 79325.5 0
1299.75 886.948 1760.97 -895765 -899629 -878473 -45316.1 -249927 91096.3 0
1298.65 885.886 1761.07 -949913 -918735 -861779 -53326.6 -293826 93061 0
1298.61 882.167 1763.89 -1.00675e+06 -955084 -868634 -24172 -280995 82232.9 0
1300.37 884.678 1769.14 -1.10618e+06 -1.05056e+06 -832568 -11618.1 -267106 106369 0
1297.51 887.064 1760.87 -880965 -902930 -853832 -63315.5 -352242 81209.7 0
1299.06 886.584 1768.65 -1.10892e+06 -1.04667e+06 -821730 -8672.43 -274682 124176 0
1298.14 887.855 1768.37 -1.10824e+06 -1.05244e+06 -802740 -8093.62 -284231 121489 0
1297.39 886.487 1760.97 -874972 -891560 -846284 -59248.5 -348664 92633.5 0
1298.87 883.241 1751.97 -1.16943e+06 -871832 -930800 -53422.5 -394151 136492 0
1299.4 883.424 1751.59 -1.14481e+06 -852044 -802231 -52528.3 -331499 127889 0
1298.72 882.166 1758.19 -921714 -783875 -920023 -75401.8 -412067 83227.8 0
1299.7 884.696 1753.55 -1.08716e+06 -832975 -898676 -67788.7 -330660 107060 0
1300.37 882.276 1750.85 -1.10879e+06 -797693 -658285 -37299.9 -202142 116671 0
1297.39 882.162 1749.6 -1.22228e+06 -1.08581e+06 -1.22234e+06 -48711.4 -247073 88691.3 0
1297.43 882.057 1749.5 -1.22201e+06 -1.11306e+06 -1.23706e+06 -52962.5 -248434 82702.9 0
1300.27 884.444 1749.18 -1.07663e+06 -760394 -507845 116621 -20518.8 178787 0
1300.71 885.334 1748.98 -1.02775e+06 -796640 -626653 93806.3 54837.9 67309.1 0
1299.77 885.867 1749.58 -1.02678e+06 -645129 -438268 98575.4 -292688 149472 0
1300.59 885.685 1749.12 -867894 -573211 -312577 76861.6 -24823.1 60849.6 0
1298.57 886.504 1751.59 -1.19338e+06 -926233 -981717 -61630.3 -390774 119638 0
1300.04 885.844 1751.37 -1.15509e+06 -822325 -770818 -46132 -269077 134097 0
1300.58 885.686 1749.02 -1.05684e+06 -835797 -628846 74750 24284.1 112632 0
1297.24 884.2 1749.14 -1.1603e+06 -1.03536e+06 -1.07442e+06 -55575.4 -28258.7 72332.9 0
1300.11 884.802 1749.88 -1.16679e+06 -751664 -552353 38943.8 -190450 143378 0
1300.38 885.392 1749.14 -1.22186e+06 -825401 -668085 133755 27637.7 171864 0
1300.7 883.215 1749.3 -1.1636e+06 -827993 -652822 119881 -5794.06 115143 0
1298.84 883.976 1759.15 -777484 -732687 -756679 -50142.3 -261079 71407 0
1300.38 883.28 1749.53 -1.21661e+06 -819796 -626845 131531 -76021.4 149464 0
1298.36 884.03 1758.82 -970178 -870243 -918180 -59827.6 -300410 65484.1 0
1300.55 887.221 1749.81 -1.0921e+06 -772531 -535426 45389.4 -118978 118351 0
1300.1 884.785 1749.75 -1.04087e+06 -681156 -488047 85629.1 -157450 168133 0
1299.79 884.432 1749.5 -1.26e+06 -705960 -509959 168351 -198435 187958 0
1297.76 885.175 1755.4 -989530 -861931 -856842 -63592.6 -351084 91943.1 0
1299.58 883.379 1751.18 -1.16515e+06 -833072 -768536 -48810.5 -324741 136551 0
1300.66 886.044 1748.91 -1.21136e+06 -961534 -834717 97130.8 62942.3 102294 0
1300.32 883.153 1749.53 -1.25475e+06 -856646 -643505 107543 -75550 138306 0
1300.74 885.63 1749.22 -808702 -547096 -281776 62219.2 -62865.3 68636.5 0
1300.26 882.748 1750.04 -972865 -733740 -505468 32263 -193749 140901 0
1298.9 887.23 1750.43 -1.20141e+06 -836021 -836164 -74069.5 -375200 160581 0
1299.49 883.097 1750.22 -1.15242e+06 -790868 -650736 -24797 -325371 170936 0
1299.72 884.368 1749.47 -1.38171e+06 -848599 -622212 99320.4 -281609 221897 0
1297.54 885.492 1749.76 -1.05968e+06 -1.01578e+06 -1.1517e+06 -40470.3 -173971 106656 0
1297.67 884.284 1751.34 -1.17186e+06 -1.01246e+06 -1.06389e+06 -63762.6 -310252 71503.6 0
1300.02 885.009 1749.76 -970265 -702959 -444558 79668.6 -214001 170921 0
1300.81 886.404 1753.48 -1.06384e+06 -835529 -873839 -60200.1 -252039 112275 0
1296.85 886.123 1748.75 -1.26904e+06 -813266 -551780 -65022.8 -62683.9 75384.2 0
1297.74 882.407 1750.53 -1.17367e+06 -893378 -1.05011e+06 -87275.4 -440072 109121 0
1298.74 884.439 1751.22 -1.16154e+06 -874037 -925557 -74133.6 -382040 137973 0
1300.37 882.62 1751.39 -1.13981e+06 -843734 -766909 -38965.7 -231963 106144 0
1297.66 883.863 1751.18 -1.1657e+06 -908901 -1.01304e+06 -94548.1 -439005 105783 0
1300.44 884.016 1749.2 -1.09338e+06 -871925 -578483 152961 -14861.1 147811 0
1298.37 886.481 1751.54 -1.18716e+06 -920126 -1.02788e+06 -90440.4 -437119 113734 0
1296.93 882.872 1750.61 -1.20345e+06 -1.02885e+06 -1.08112e+06 -48617.7 -277852 58545.7 0
1297.92 882.34 1750.44 -1.11113e+06 -900656 -1.03461e+06 -74418.5 -363741 135332 0
1296.99 882.732 1750.79 -1.18634e+06 -965391 -1.06746e+06 -116372 -421427 85190.7 0
1299.84 887.369 1750.67 -1.15054e+06 -781621 -677985 -43660.1 -295918 147527 0
1297.21 887.307 1749.29 -1.08346e+06 -992045 -1.04972e+06 -46936.5 -44792.3 87498.1 0
1298.46 884.624 1758.71 -934517 -844317 -900689 -32859.5 -301602 78838.8 0
1298.55 886.946 1750.44 -1.24444e+06 -874349 -979895 -48891.7 -388891 142569 0
1299.86 882.332 1750.06 -1.09119e+06 -771859 -571444 -15622.8 -256296 154386 0
1299.9 882.929 1755.05 -1.02627e+06 -835840 -931294 -65374.2 -323688 93681.8 0
1298.41 884.425 1752.76 -1.07321e+06 -899044 -918234 -51532.4 -330212 118916 0
1300.28 886.435 1749.38 -897229 -553414 -267003 70878.3 -107382 66132.7 0
1299.35 882.869 1750.98 -1.17842e+06 -880438 -843366 -56010.7 -348731 129925 0
1299.55 886.21 1751.96 -1.16653e+06 -856845 -832122 -62692.8 -332448 133803 0
1298.69 887.278 1749.81 -1.14828e+06 -804103 -982302 -6626.75 -483961 213206 0
1297.3 887.876 1752.86 -1.12258e+06 -958567 -1.0018e+06 -71308.4 -364732 88219.9 0
1300.56 885.615 1748.98 -921160 -685366 -427258 82677.7 -9630.48 163200 0
1300.54 885.604 1749.17 -1.01113e+06 -855348 -544143 101415 -49635.4 164271 0
1296.98 887.78 1752.67 -1.12182e+06 -970010 -1.01555e+06 -72115.6 -374204 79800.5 0
1297.16 884.912 1749.2 -1.0109e+06 -877565 -928240 -40251.8 -11449.3 87591.4 0
1300.37 886.497 1749.18 -1.18085e+06 -813979 -642105 116419 10960 183454 0
1300.52 886.339 1753.39 -1.10132e+06 -845002 -900870 -59141.9 -278009 108727 0
1299.22 882.978 1751.09 -1.17795e+06 -878536 -823857 -56416.2 -354551 137903 0
1297.07 885.74 1749 -1.28431e+06 -1.04642e+06 -1.10104e+06 -59742.9 -112422 51352.2 0
1297.11 885.724 1749.11 -1.13951e+06 -987089 -1.02095e+06 -30304 -26101.3 111492 0
1300.66 885.335 1749.07 -459037 -303339 -49669.4 9126.08 -36075.9 45622.8 0
