x z szz sxx pp state
1240.62 1782.89 -146318 -88711.1 0 0
1169.78 1758.8 -107064 -124736 0 0
1212.02 1756.36 -378927 -261680 0 0
1154.17 1729.53 -755869 -524888 0 0
1043.22 1700.83 -996305 -695174 0 0
1152.12 1751.11 -249571 -207211 0 0
1072.66 1711.59 -921350 -611434 0 0
1159.5 1759.69 -161364 -126758 0 0
1161.62 1758.48 -161198 -138527 0 0
946.187 1688.92 -799141 -578622 0 0
647.158 1684.04 -531222 -441947 0 0
1232.65 1766.09 -383908 -294449 0 0
834.677 1684.13 -324165 -330988 0 0
996.504 1692.45 -972535 -669035 0 0
1043.07 1698.36 -1.07844e+06 -751893 0 0
1239.07 1768.13 -384048 -288327 0 0
667.34 1691.56 -311060 -291052 0 0
736.551 1680.13 -274725 -327658 0 0
1168.35 1740.05 -506993 -353188 0 0
1165.15 1761.87 -108512 -113392 0 0
1128.85 1724.53 -868146 -585090 0 0
812.886 1679.32 -268174 -299272 0 0
1248.06 1773.98 -382468 -275721 0 0
1123.05 1717.16 -891800 -610251 0 0
1129.25 1742.85 -466592 -304492 0 0
905.993 1683.77 -849958 -624272 0 0
1161.18 1732.88 -757947 -522052 0 0
1251.27 1774.1 -401362 -286884 0 0
744.583 1676.25 -381327 -392510 0 0
942.771 1679.98 -899254 -653344 0 0
625.108 1689.24 -550707 -449137 0 0
1172.6 1737.78 -630569 -442362 0 0
729.538 1675.96 -370053 -408284 0 0
789.894 1674.31 -351028 -369737 0 0
1249.6 1776.96 -373549 -266602 0 0
1165.98 1750.76 -235632 -197625 0 0
857.282 1680.76 -567937 -462409 0 0
850.541 1680.5 -539528 -444482 0 0
711.274 1676.2 -498635 -458414 0 0
1113.27 1719.39 -935637 -621482 0 0
1222.96 1763.3 -360478 -232501 0 0
1143.73 1754.17 -119228 -81604.3 0 0
1126.24 1740.99 -406665 -258272 0 0
908.374 1683.23 -768003 -575088 0 0
1027.67 1696.68 -1.00807e+06 -702671 0 0
820.464 1680.14 -415447 -386589 0 0
799.75 1674.65 -371570 -377387 0 0
973.335 1691.86 -943594 -660209 0 0
1070.55 1703.49 -1.04911e+06 -717013 0 0
1014.76 1691.64 -992640 -681904 0 0
642.999 1688.92 -443932 -359726 0 0
1124.38 1730.27 -668622 -460283 0 0
814.964 1682.21 -305147 -360906 0 0
966.271 1684.78 -923450 -656252 0 0
972.42 1685.25 -935903 -660093 0 0
627.028 1693.7 -410652 -342477 0 0
769.431 1676.68 -353407 -377278 0 0
739.397 1672.73 -392157 -406865 0 0
825.841 1681.56 -432894 -392085 0 0
967.326 1691.48 -926757 -652271 0 0
1067.52 1707.21 -991680 -668748 0 0
825.29 1673.39 -431862 -409216 0 0
1161.69 1756.81 -159998 -143404 0 0
1173.16 1762.45 -96858.4 -116889 0 0
614.511 1701.61 -280217 -256274 0 0
1142.76 1731.92 -656077 -425082 0 0
1095.19 1713.86 -868890 -571198 0 0
620.72 1697.08 -308042 -269779 0 0
790.061 1670.65 -358551 -379068 0 0
810.45 1675.2 -395476 -389357 0 0
769.593 1673.33 -351159 -374021 0 0
1051.76 1699.04 -979419 -672908 0 0
1149.51 1748.48 -408956 -284907 0 0
594.356 1697.93 -384674 -341885 0 0
1142.05 1723.03 -842905 -572366 0 0
998.17 1711.94 -643172 -462174 0 0
1205.07 1757.61 -419026 -269861 0 0
1183.5 1757.44 -248474 -221481 0 0
714.026 1672.36 -550562 -493354 0 0
1186.34 1761.68 -170567 -180222 0 0
1154.03 1756.43 -122395 -97336.6 0 0
950.975 1690.22 -717279 -520112 0 0
1187.3 1752.46 -429424 -299632 0 0
1141.46 1746.88 -288610 -214944 0 0
746.983 1680.08 -264076 -319371 0 0
1001.84 1691.31 -1.05358e+06 -738964 0 0
957.948 1690.73 -767814 -576341 0 0
1140.11 1726.6 -783564 -531651 0 0
675.044 1682.32 -576070 -506505 0 0
1098.91 1719.76 -849859 -563749 0 0
815.342 1685.93 -283675 -314253 0 0
1201.18 1768.97 -91830.7 -159624 0 0
1167.29 1736.73 -594898 -407990 0 0
625.038 1695.6 -400286 -332855 0 0
744.822 1678.05 -273896 -359186 0 0
615.609 1699.15 -297503 -269545 0 0
1205.17 1749.18 -451672 -323563 0 0
1182.69 1739.51 -558226 -396059 0 0
1056.4 1704.32 -885394 -600660 0 0
976.862 1688.78 -874900 -622394 0 0
1050.85 1709.95 -787453 -543003 0 0
948.112 1687.42 -901696 -652383 0 0
957.57 1688.72 -873095 -654713 0 0
1171.47 1736.29 -633980 -444929 0 0
1194.98 1760.97 -176847 -196025 0 0
