x y z sxx syy szz sxy sxz syz pp
1296.06 887.772 1762.91 -1.25962e+06 -1.12087e+06 -1.01966e+06 -143307 -355546 23029.7 0
1297.88 884.611 1762.1 -1.22986e+06 -1.08033e+06 -1.0112e+06 -149551 -311671 28844.7 0
1297.17 887.537 1761.13 -1.23342e+06 -1.08164e+06 -1.02771e+06 -151010 -338186 20976.8 0
1297.37 884.083 1762.22 -1.24051e+06 -1.08849e+06 -1.01515e+06 -152109 -315605 24440.4 0
1296.75 884.33 1761.8 -1.20562e+06 -1.07546e+06 -1.03101e+06 -155755 -332453 28128 0
1295.03 887.888 1760.56 -1.26635e+06 -1.08808e+06 -1.08365e+06 -182632 -338994 11940.9 0
1296.69 883.811 1761.44 -1.19961e+06 -1.05956e+06 -1.03951e+06 -150435 -330161 23779.9 0
1298.51 883.754 1764.16 -1.27853e+06 -1.11451e+06 -971586 -139517 -308173 30818.3 0
1298.73 883.288 1761.63 -1.23574e+06 -1.06199e+06 -1.01341e+06 -160344 -319365 30369.5 0
1296.05 886.106 1764.8 -1.28101e+06 -1.12385e+06 -971004 -144222 -358529 39852.4 0
1296.09 883.629 1761.45 -1.22731e+06 -1.07714e+06 -1.05336e+06 -155161 -342383 19878.2 0
1298.26 882.397 1762.15 -1.23714e+06 -1.07388e+06 -1.01879e+06 -157711 -314358 33533.7 0
1298.51 882.604 1763.25 -1.22746e+06 -1.06769e+06 -964114 -143898 -305807 27565 0
1298.73 882.281 1762.58 -1.25179e+06 -1.08689e+06 -1.00486e+06 -141814 -284590 29770.3 0
1296.36 885.706 1768.78 -1.36849e+06 -1.20364e+06 -934722 -123920 -331543 73100 0
1298.22 883.666 1765.19 -1.27424e+06 -1.11297e+06 -970339 -134973 -313114 37759.5 0
1296.35 887.8 1767.66 -1.35283e+06 -1.18534e+06 -936400 -141617 -338750 65451 0
1296.91 884.888 1761.35 -1.20106e+06 -1.06194e+06 -1.02987e+06 -164953 -334055 17967.9 0
1297.52 885.787 1761.88 -1.22657e+06 -1.08662e+06 -1.02606e+06 -150841 -303902 27567.7 0
1295.47 883.049 1761.99 -1.24303e+06 -1.08079e+06 -1.06996e+06 -150789 -328389 30022.5 0
1297.14 883.411 1761.54 -1.20696e+06 -1.05856e+06 -1.03958e+06 -149645 -323004 17036.8 0
1297.97 885.19 1768.88 -1.3678e+06 -1.20636e+06 -926874 -125348 -334832 63758.9 0
1296.02 887.228 1764.62 -1.28649e+06 -1.12958e+06 -990693 -142353 -364733 45305.2 0
1298.97 884.907 1761.28 -1.1974e+06 -1.04582e+06 -1.0161e+06 -158467 -297856 39072.2 0
1298.55 884.276 1765.91 -1.30689e+06 -1.14784e+06 -961457 -147625 -318554 40275.6 0
