zid x y z sxx syy szz sxy sxz syz
8585 1291.67 822.5 1826.33 -89764 -72860.8 -145527 -16474.7 -26163.9 5850.78
8704 1176.57 1004.3 1743.5 -100618 -111119 -131828 -57272.5 -81018 -27538.5
8869 1374.48 760.914 1872.77 24675.5 -17407.8 -95351.2 -9925.1 -24451.3 28193.8
9070 1286.63 786.719 1813.42 -328716 -345334 -631487 -34948.2 -91860.6 45497.6
9251 1197.53 953.586 1747.44 -176620 -187331 -236568 -40555.3 -32567.6 -1057.18
9361 1233.15 784.77 1806.15 -153805 -72087.9 -195645 -15970.8 -64976 6486.72
9467 1220.13 865.605 1766.08 -276826 -296117 -496441 -52135.5 -79970.6 39092.6
9618 1354.49 775.356 1848.03 -185301 -214119 -409609 -36348.7 -50427.8 38457.3
9764 1363.5 866.984 1854.83 19638.3 10227.4 -63708.8 5837.73 -4607.38 4377.28
9941 1170.89 813.212 1786.6 -101741 2303.84 -69600.9 -47608.4 -14734.9 5484.95
10133 1154.74 1032.83 1728.19 -144422 -162198 -177409 -29336.2 -60302.8 -27240.5
10336 1252.9 752.532 1822.18 -150035 -51554.9 -206762 -10891.8 -71865 8700.1
10457 1240.45 1016.46 1791.59 -41105.2 27875.6 -81366.6 -1791.24 -21378.2 6546.08
10660 1336.91 886.286 1836.43 -1325.53 -28538.5 -67563.3 7093.15 -9434.95 7807.99
10806 1189.71 774.678 1795.7 -134724 -8721.95 -96602.5 -43102.1 -31284.4 7253.42
11056 1319.23 813.432 1825.66 -228281 -254198 -447448 -38358 -64017.5 38009.6
11325 1270.22 874.403 1806.26 -43242.8 -48535.9 -79921.4 -34672 -32362.6 11751.3
11558 1342.07 766.74 1862.38 22303.7 -16192.4 -88071.9 -4880.01 -13879.2 13884.9
11827 1165.85 1020.3 1737.37 -95408 -123692 -119264 -58096.6 -71827.7 -26168.3
12189 1183.63 758.423 1776.98 -377258 -298534 -549415 -45045.6 -45372.4 46012.8
12445 1244.96 1028.89 1796.17 -43155.1 17121.6 -94422.9 3883.94 -18319.2 12677.7
12667 1284.71 927.126 1797.25 -111627 -136325 -160807 -21309.4 -36765 -1776.99
12978 1314.64 787.297 1826.29 -290445 -320035 -568172 -32949.7 -72765.3 45085.6
13264 1378.12 813.137 1849.87 -209353 -220715 -381290 -13683.3 -36763 16101.7
13673 1370.03 862.671 1858.52 12015.1 7271.4 -58462.1 1542.5 599.11 3856.81
14049 1224.05 964.227 1767.31 -90632 -89575.4 -122078 -38283.4 -60882.5 -31374
14469 1151 915.41 1756.5 -47614.2 -62041.9 -61210.5 -79964 -2174.54 19575.9
14740 1164.18 987.63 1739.34 -144200 -150026 -127298 -80477.4 -36590.3 14262.9
15000 1151.1 776.556 1792.86 -59967.9 42309 -54024.5 -50276.2 -5193.74 -1565
15303 1199.74 897.415 1749.7 -321940 -303154 -480808 -59351.1 -46187 37959.8
15617 1287.58 805.583 1810.64 -297418 -319023 -571323 -37748 -82259.3 42562.8
16085 1317.58 797.229 1845.61 1240.25 -42985.2 -84036.9 -9058.18 -20470.3 15786.7
16613 1322.43 797.278 1847.09 -11587 -46490.5 -91419.7 -3122.17 -25660.2 19191.5
16936 1283 824.86 1805.62 -275512 -292280 -516788 -41217.7 -77774.7 37591.4
17489 1218.12 809.614 1797.88 -118877 -24810.8 -103973 -20851.9 -58521.5 7769.24
18024 1309.89 806.323 1821.96 -255218 -285230 -497123 -36439.6 -67822.3 40165.5
18419 1319.32 907.32 1821.41 -36581 -56066.2 -84523.7 -4851 -22365 6749.35
18866 1374.3 759.321 1855.5 -234080 -255090 -473032 -25274.1 -43933.2 34513.7
19355 1180.98 1004.99 1745.85 -98437 -112741 -134351 -58788.2 -80199.7 -29139.2
19862 1215.53 762.75 1786.84 -309140 -274289 -520616 -42777.4 -81045.1 24180.8
20334 1175.31 802.949 1760.25 -478588 -395198 -706914 -61164.4 -44877.9 62052.4
22257 1266.61 909.689 1795.04 -69757.2 -110313 -89236 -26448.4 -38448.9 11140.9
22834 1377.67 763.16 1856.47 -218128 -246748 -450763 -25875.7 -42894.3 32014.2
22855 1367.39 780.344 1854.94 -133141 -186060 -306757 -13891.9 -25707.2 22813.4
22877 1371.79 852.546 1854.53 -51353.4 -65736.5 -171299 -2679.89 -7063.43 4704.9
22901 1318.15 872.087 1823.72 -122860 -118992 -202516 -12844.7 -47856.2 18560.4
22930 1161.75 903.254 1739.26 -369636 -344737 -539032 -88847.4 -42396.1 66292.7
22952 1239.92 897.184 1778.1 -207615 -209417 -286288 -14299.2 -76138 28825.8
22973 1331.25 812.069 1834.06 -187673 -206269 -352296 -27079.5 -37990.8 20437.9
23013 1328.31 866.224 1828.25 -125113 -138139 -237960 -17415.4 -35222 14918.1
23069 1202.01 936.808 1755.13 -163235 -129166 -156094 -68970.7 -38602.2 -3295.38
23225 1398.32 751.371 1875 -81099 -112590 -249116 -16239.3 -27421.3 22795.7
23369 1329.73 872.705 1824.61 -177411 -170034 -306196 -27179.2 -37974.6 13246.8
23712 1269.57 786.538 1829.34 -56321.3 -17028 -103201 11960.1 -36666.4 15305.9
24164 1337.53 774.171 1855.55 -36644.2 -71530.2 -155782 -3251.79 -17526.1 17271
24669 1171.98 756.407 1781.73 -311558 -201329 -424775 -55219 -39911.1 41898.7
25205 1222.69 762.031 1795.9 -248094 -169815 -407844 -52006.5 -102032 17703.3
26859 1160.95 838.187 1750.43 -473946 -374313 -694581 -76393.6 -38769.1 66922.5
26889 1330.26 815.749 1838.29 -119998 -147076 -244942 -20042 -38497.3 22124.3
27288 1233.18 892.639 1781.34 -87314.2 -104752 -147850 -41584.5 -60964 20001
27411 1309.03 796.552 1807.48 -548582 -481501 -966751 -80308.7 -184450 63717
27460 1436.38 925.096 1799.59 -1.09818e+06 -1.35418e+06 -2.51827e+06 56247.3 -275516 135602
27485 1382.75 1034.54 1798.03 -908456 -986509 -2.24747e+06 102478 -184186 112915
27517 1378.66 1029.98 1823.31 -464784 -503891 -1.55452e+06 112935 -76855.9 83116.4
27548 1368.65 810.623 1818.17 -587468 -615255 -1.15895e+06 -87673.4 -175055 74871.9
27579 1428.2 776.763 1865.63 -199998 -238438 -687026 -24715.4 -35881.2 35130.2
27617 1416.39 953.595 1839.1 -311368 -485155 -1.17865e+06 112903 -73736.9 67721.6
27653 1344.05 836.942 1821.06 -414492 -388969 -749413 -71393.3 -115986 29417.3
27683 1217.25 1049.62 1738.21 -752203 -729800 -1.20522e+06 -64248.8 -330811 -11793.8
27712 1253.35 1046.19 1749.11 -897547 -876437 -1.60074e+06 -3336.56 -334890 32930.1
27744 1411.39 1029.84 1760.21 -1.72161e+06 -1.9847e+06 -3.54878e+06 57861.3 -325607 199355
27777 1396.27 913.771 1832.87 -336694 -439436 -1.01289e+06 53780.4 -95933.7 68078.7
27805 1365.26 1047.4 1836.48 -146255 -177664 -994180 124038 -38155.2 60124.3
27838 1385.08 808.018 1830.75 -463056 -491236 -1.01119e+06 -77745.4 -125761 59104.5
27876 1378.95 1017.39 1837.31 -300200 -279904 -1.20531e+06 117740 -34916 66790.3
27910 1414.83 967.249 1806.58 -865444 -1.07103e+06 -2.13569e+06 142507 -209442 107283
27941 1223.39 1049.04 1734.91 -830621 -871341 -1.40492e+06 -67214.1 -346664 -1574.44
27976 1435.19 1042.85 1857.67 -126977 -331245 -1.226e+06 151579 -12401.2 73947.2
28009 1428.91 1010.6 1791.54 -1.2068e+06 -1.44115e+06 -2.9151e+06 123525 -226234 153443
28040 1337.97 986.971 1814.1 -386532 -353887 -1.09013e+06 46472.5 -91975.5 29000.5
28069 1378.97 982.742 1833.35 -286231 -312977 -1.06694e+06 104426 -56602.6 51155.3
28105 1369.84 756.82 1817.36 -754814 -772773 -1.49362e+06 -64121.5 -220595 113279
28131 1427.07 763.495 1816.5 -1.03249e+06 -1.10728e+06 -2.05691e+06 -116595 -249881 130379
28166 1254.51 1024.56 1737.07 -1.00126e+06 -1.11728e+06 -1.84013e+06 -76507.9 -271959 -6235.42
28196 1347.16 983.329 1815.4 -412393 -385752 -1.12264e+06 39736.6 -93539.9 36227.1
28226 1243.53 880.845 1763.41 -634030 -546345 -864913 -120316 -229701 23766.1
28255 1394.81 754.263 1850.78 -331470 -346454 -810226 -63171.8 -80412.7 64830.7
28287 1410.74 1024.92 1852.06 -154094 -251989 -1.15693e+06 148573 -20460.4 58966.2
28334 1393.8 956.909 1796.9 -898867 -1.10219e+06 -1.98906e+06 61976.7 -228337 87507.3
28370 1410.27 922.744 1798.78 -921121 -1.1749e+06 -2.12478e+06 34540.1 -255116 120390
28405 1427.46 753.332 1812.99 -1.06345e+06 -1.16003e+06 -2.19844e+06 -133589 -273020 144091
28436 1436.93 852.337 1843.88 -516557 -579179 -1.33778e+06 25123.2 -133949 78667.2
28464 1398.19 851.932 1776.66 -1.34229e+06 -1.50948e+06 -2.60278e+06 -107682 -388729 131175
28501 1371.59 891.107 1779.41 -1.12387e+06 -1.24087e+06 -2.12205e+06 -79196.6 -320118 98413.4
28542 1431.24 1014.52 1763.26 -1.78006e+06 -2.05617e+06 -3.67243e+06 79719.4 -331703 193760
28573 1400.46 894.149 1804.28 -871466 -1.00436e+06 -1.86315e+06 -19748.2 -220296 95905.2
28618 1337.76 977.752 1812.68 -395463 -381705 -1.02612e+06 41146.6 -105486 30395.9
28649 1243.8 839.989 1773.16 -700240 -495343 -865406 -79651.6 -179814 33364.6
28680 1276.92 877.494 1766.32 -764654 -736169 -1.2392e+06 -131944 -263953 45391
28708 1411.39 1041.92 1753.39 -1.86416e+06 -2.14408e+06 -3.71006e+06 55699.9 -329450 214598
28743 1430.78 778.778 1872.07 -76049.1 -117275 -547813 -37767.5 -26495.2 31813.6
28785 1448.34 874.39 1798.95 -1.26987e+06 -1.48582e+06 -2.72789e+06 326.008 -312629 153702
28815 1418.99 892.251 1822.58 -691936 -816180 -1.65804e+06 11416.5 -172757 96024.3
28852 1398.59 870.883 1783.26 -1.22553e+06 -1.38581e+06 -2.40414e+06 -80450.4 -329740 121911
28886 1339.16 971.447 1753.28 -1.32252e+06 -1.49605e+06 -2.50622e+06 -45063 -403947 54815.5
28927 1435.86 802.439 1833.12 -730698 -838621 -1.63445e+06 -39642.7 -180528 104668
28959 1418.49 991.893 1783.02 -1.35049e+06 -1.54399e+06 -2.9708e+06 121155 -291261 154660
28990 1412.2 959.252 1789.95 -1.139e+06 -1.36273e+06 -2.4809e+06 91257.7 -288187 122738
29022 1419.59 961.916 1794.22 -1.03274e+06 -1.33613e+06 -2.47743e+06 92261 -239186 119116
29063 1402.46 1026.76 1789.99 -1.1208e+06 -1.27224e+06 -2.67681e+06 116933 -222736 133343
29106 1424.52 1035.82 1819.57 -688585 -888142 -2.12772e+06 148162 -111004 112725
29140 1344.99 879.692 1788.23 -815602 -916068 -1.53961e+06 -83174.6 -290035 78723.7
29176 1304.29 971.84 1768.99 -899167 -970377 -1.65437e+06 -54724.7 -311767 20702.1
29216 1307.22 856.56 1775.72 -866053 -852891 -1.45267e+06 -134154 -311340 75764.6
29248 1361.75 808.03 1817.44 -596580 -590960 -1.11991e+06 -98556.8 -166611 66579.2
29281 1415.97 988.282 1794.38 -1.06304e+06 -1.26351e+06 -2.59002e+06 114874 -228710 118593
29318 1404.53 999.677 1770.08 -1.53793e+06 -1.70602e+06 -3.17412e+06 73811.6 -318719 145772
29352 1371.45 991.66 1808.19 -697590 -733040 -1.73518e+06 98318 -151125 64589.1
29392 1317.38 773.484 1818.66 -478766 -402424 -907897 -35955.3 -156678 65835.5
29422 1422.99 827.314 1840.08 -518296 -584135 -1.2715e+06 -19089.9 -131293 80267
29459 1403.84 875.137 1844.76 -275430 -290932 -853396 15819.7 -78950.7 48572.7
29489 1444.86 1045.99 1760.34 -1.81444e+06 -2.16607e+06 -3.7996e+06 69954.3 -305735 240984
29526 1439.74 993.246 1755.88 -2.00457e+06 -2.30056e+06 -3.91025e+06 71638.8 -402542 211558
29568 1370.28 786.48 1830.06 -435684 -470634 -946049 -74225.3 -118450 67430.5
29605 1308.65 1048.03 1774.02 -873064 -920602 -1.90915e+06 65070.2 -239209 78105.3
29641 1362.51 1020.84 1793.5 -926990 -936693 -2.15802e+06 79448.2 -179124 89719.2
29681 1421.23 976.602 1834.06 -458788 -603563 -1.5378e+06 158774 -99177.6 79510.1
29713 1379.5 871.213 1786.95 -1.0719e+06 -1.20422e+06 -2.0759e+06 -66659.2 -332022 116369
29748 1295.7 862.997 1787.6 -595500 -531713 -902600 -109570 -205787 34135.7
29786 1248.27 831.018 1774.05 -663067 -523058 -928085 -60854.4 -164918 30814.7
29817 1361.69 908.685 1798.96 -680722 -814600 -1.40008e+06 -41953.8 -233677 81383.2
29856 1304.24 995.336 1804.68 -367362 -279301 -997419 1750.81 -116768 17971.4
29890 1430.59 872.236 1832.64 -612070 -712077 -1.53889e+06 18045 -138174 84494.5
29915 1323.73 1005.15 1803.13 -534827 -475479 -1.40517e+06 35559.4 -139440 43886.6
29949 1379.91 893.073 1783.94 -1.11485e+06 -1.24079e+06 -2.12557e+06 -69379.8 -306498 102279
29983 1388.73 845.011 1793.78 -1.04907e+06 -1.14126e+06 -2.04076e+06 -89755.9 -311334 111466
30015 1443.43 892.386 1845.01 -428991 -574531 -1.43892e+06 69230 -112858 84039.8
30069 1256.83 1012.21 1761.49 -673962 -611929 -1.25728e+06 -56106.4 -313965 12327.9
30104 1428.9 931.534 1762.21 -1.76052e+06 -2.09543e+06 -3.41111e+06 -4334.68 -440011 166681
30141 1343.04 886.932 1780.94 -877044 -1.0095e+06 -1.66812e+06 -91520.8 -279711 72731.4
30190 1380.46 985.067 1789.42 -994644 -1.14318e+06 -2.27715e+06 65145.6 -242580 103357
30224 1404.28 930.796 1816.69 -580202 -772305 -1.52936e+06 37859.1 -157989 79430
30259 1325.72 1026.17 1756.33 -1.30782e+06 -1.41259e+06 -2.64729e+06 -10026.4 -340620 95104.7
30295 1365.19 939.247 1816.69 -347365 -486855 -940222 36098.4 -137818 73200.8
30329 1395.66 860.843 1791.62 -1.14153e+06 -1.23005e+06 -2.18296e+06 -79645.9 -321691 118778
30368 1377.41 931.172 1795.58 -806589 -1.01037e+06 -1.67828e+06 6470.07 -237640 86483.2
30401 1327.71 994.384 1786.5 -841614 -841136 -1.80588e+06 26004.1 -207450 50398.6
30445 1419.27 874.028 1770.48 -1.59003e+06 -1.80564e+06 -3.06616e+06 -77269.4 -418578 153326
30476 1421.57 929.25 1814.44 -754177 -972762 -1.88532e+06 73651.6 -183660 108369
30509 1394.43 1008.05 1840.06 -285242 -340067 -1.29242e+06 131315 -51826.4 66193
30559 1372.92 950.951 1788.29 -901009 -1.10027e+06 -1.84875e+06 37628.3 -263292 75337.2
30596 1325.12 930.369 1767.08 -873549 -1.06592e+06 -1.6281e+06 -73922.1 -320604 46167.9
30634 1389.32 771.448 1815.53 -822560 -860630 -1.62643e+06 -107021 -240231 124044
30682 1444.28 812.98 1799.74 -1.2988e+06 -1.47458e+06 -2.67338e+06 -99249.4 -326790 149154
30714 1428.22 803.091 1804.64 -1.12598e+06 -1.25369e+06 -2.32321e+06 -109471 -308514 138168
30761 1443.09 856.604 1835.85 -650560 -771597 -1.65268e+06 15238.7 -153236 95063.7
