x y z type diam age
1296.51 884.477 1747.35 1 0.0370184 14764.1
1296.41 884.135 1747.26 1 0.037184 14765.1
1296.43 884.457 1747.18 1 0.0397407 14765.1
1296.44 884.34 1747.17 1 0.0401979 14765.1
1296.41 884.192 1747.33 1 0.037184 14765.1
1296.41 884.172 1747.24 1 0.037184 14765.1
1296.42 884.475 1747.34 1 0.0374875 14767.1
1296.41 884.206 1747.26 1 0.037184 14770.1
1296.49 884.479 1747.23 1 0.0374757 14770.1
1296.43 884.487 1747.23 1 0.0397407 14771.1
1296.39 886.999 1747.19 1 0.040507 14773.1
1296.44 884.076 1747.38 1 0.041666 14774.1
1296.44 884.193 1747.42 1 0.038879 14776.1
1296.44 884.209 1747.47 1 0.0409028 14776.1
1296.45 884.059 1747.34 1 0.0370575 14776.1
1296.51 884.403 1747.4 1 0.0381186 14776.1
1296.43 884.533 1747.23 1 0.0377869 14777.1
1296.41 884.433 1747.24 1 0.0388881 14777.1
1296.5 884.219 1747.33 1 0.0361461 14777.1
1296.52 884.317 1747.32 1 0.0427127 14777.1
1296.43 884.129 1747.36 1 0.0379743 14777.1
1296.54 884.392 1747.34 1 0.0433544 14777.1
1296.55 884.397 1747.41 1 0.0381186 14778.1
1296.55 884.244 1747.4 1 0.0419494 14779.1
1296.44 884.544 1747.19 1 0.0377869 14779.1
1296.5 884.391 1747.21 1 0.0373112 14779.1
1296.48 884.214 1747.39 1 0.0361883 14780.1
1296.41 884.484 1747.18 1 0.0397407 14780.1
1296.4 884.59 1747.45 1 0.0369184 14780.1
1296.56 884.329 1747.47 1 0.036645 14780.1
1296.43 884.096 1747.34 1 0.0379743 14780.1
1296.57 884.25 1747.47 1 0.0378122 14780.1
1296.44 884.309 1747.52 1 0.0360728 14781.1
1296.43 884.243 1747.45 1 0.0382432 14782.1
1296.49 884.371 1747.38 1 0.0381186 14782.1
1296.62 884.384 1747.29 1 0.0400007 14782.1
1296.48 884.316 1747.33 1 0.0412331 14783.1
1296.41 884.102 1747.38 1 0.041666 14783.1
1296.47 884.113 1747.45 1 0.0383113 14783.1
1296.4 884.564 1747.26 1 0.0377869 14784.1
1296.42 884.03 1747.34 1 0.0384957 14784.1
1296.44 884.155 1747.53 1 0.036447 14784.1
1296.44 884.58 1747.3 1 0.0389319 14784.1
1296.41 884.112 1747.44 1 0.0431609 14784.1
1296.68 884.37 1747.33 1 0.0364764 14785.1
1296.41 884.225 1747.49 1 0.0431334 14786.1
1296.44 884.184 1747.5 1 0.0409028 14786.1
1296.66 884.386 1747.31 1 0.0364764 14787.1
1296.41 884.016 1747.37 1 0.0395861 14787.1
1296.54 884.485 1747.38 1 0.0361863 14787.1
1296.4 884.506 1747.21 1 0.0377869 14788.1
1296.51 884.207 1747.46 1 0.0409028 14789.1
1296.44 884.298 1747.22 1 0.0401979 14790.1
1296.41 884.567 1747.17 1 0.0377869 14791.1
1296.41 884.184 1747.48 1 0.0430224 14792.1
1296.44 884.2 1747.24 1 0.0381536 14793.1
1296.41 884.148 1747.46 1 0.0430224 14793.1
1296.4 884.53 1747.18 1 0.0377869 14794.1
1296.54 884.366 1747.47 1 0.0424945 14794.1
1296.41 884.123 1747.49 1 0.0430224 14794.1
1296.41 884.057 1747.31 1 0.0363395 14794.1
1296.47 884.286 1747.49 1 0.0360728 14797.1
1296.44 884.268 1747.15 1 0.0366633 14797.1
1296.43 884.618 1747.43 1 0.0369184 14797.1
1296.41 884.632 1747.23 1 0.036646 14797.1
1296.53 884.437 1747.41 1 0.0421644 14797.1
1296.43 884.645 1747.18 1 0.038454 14798.1
1296.41 884.213 1747.21 1 0.041735 14798.1
1296.58 884.289 1747.47 1 0.036645 14799.1
1296.55 884.386 1747.25 1 0.0425053 14800.1
1296.56 884.321 1747.35 1 0.0429639 14800.1
1296.56 884.354 1747.38 1 0.0433544 14800.1
1296.44 884.504 1747.45 1 0.0412692 14800.1
1296.5 884.494 1747.31 1 0.0370184 14800.1
1296.51 884.192 1747.41 1 0.038879 14801.1
1296.54 884.225 1747.46 1 0.0378122 14801.1
1296.45 884.308 1747.15 1 0.0416518 14801.1
1296.63 884.377 1747.34 1 0.0365892 14801.1
1296.38 886.937 1747.23 1 0.0421834 14802.1
1296.41 884.253 1747.18 1 0.0366633 14802.1
1296.51 884.312 1747.19 1 0.0416518 14802.1
1296.44 884.223 1747.52 1 0.0409028 14802.1
1296.55 884.352 1747.27 1 0.0425053 14802.1
1296.41 884.497 1747.47 1 0.0431172 14802.1
1296.59 884.388 1747.27 1 0.0400007 14802.1
1296.4 884.585 1747.2 1 0.0377869 14803.1
1296.44 884.237 1747.12 1 0.0366633 14803.1
1296.65 884.349 1747.33 1 0.0364764 14803.1
1296.49 884.171 1747.47 1 0.0383113 14803.1
1296.56 884.428 1747.42 1 0.038883 14803.1
1296.51 884.31 1747.23 1 0.0389765 14803.1
1296.54 884.279 1747.5 1 0.036645 14803.1
1296.54 884.501 1747.35 1 0.0361863 14803.1
1296.6 884.243 1747.34 1 0.0400097 14804.1
1296.62 884.313 1747.3 1 0.0400007 14804.1
1296.41 884.643 1747.14 1 0.0395636 14804.1
1296.6 884.451 1747.34 1 0.0361863 14804.1
1296.61 884.463 1747.31 1 0.0421567 14804.1
1296.58 884.347 1747.24 1 0.0400007 14805.1
1296.59 884.313 1747.37 1 0.0365892 14805.1
1296.6 884.343 1747.4 1 0.0365892 14805.1
1296.45 884.336 1747.11 1 0.0404449 14805.1
1296.51 884.307 1747.51 1 0.0360728 14805.1
1296.54 884.515 1747.32 1 0.0370184 14805.1
1296.52 884.282 1747.26 1 0.0389765 14805.1
1296.43 884.547 1747.28 1 0.0406736 14805.1
1296.51 884.271 1747.51 1 0.0360728 14805.1
1296.6 884.423 1747.29 1 0.0424163 14805.1
1296.58 884.233 1747.43 1 0.0419494 14806.1
1296.65 884.318 1747.31 1 0.0364764 14806.1
1296.47 884.256 1747.51 1 0.0360728 14806.1
1296.61 884.414 1747.35 1 0.038883 14806.1
1296.6 884.373 1747.38 1 0.0365892 14806.1
1296.59 884.279 1747.35 1 0.0400097 14806.1
1296.45 884.5 1747.41 1 0.0396279 14806.1
1296.59 884.319 1747.27 1 0.0400007 14806.1
1296.53 884.445 1747.28 1 0.0393215 14806.1
1296.62 884.309 1747.35 1 0.0365892 14806.1
1296.61 884.302 1747.4 1 0.0365892 14806.1
1296.53 884.41 1747.26 1 0.0396846 14807.1
1296.51 884.225 1747.5 1 0.0378122 14807.1
1296.6 884.409 1747.43 1 0.0368348 14807.1
1296.57 884.258 1747.52 1 0.0378122 14807.1
1296.53 884.347 1747.5 1 0.036645 14807.1
1296.46 884.538 1747.43 1 0.039528 14807.1
1296.46 884.503 1747.37 1 0.0396279 14807.1
1296.55 884.236 1747.27 1 0.0419563 14807.1
1296.54 884.437 1747.24 1 0.0374757 14807.1
1296.46 884.396 1747.5 1 0.0417137 14808.1
1296.58 884.379 1747.41 1 0.038883 14808.1
1296.61 884.373 1747.23 1 0.0400007 14808.1
1296.41 884.605 1747.16 1 0.0395636 14808.1
1296.42 884.462 1747.42 1 0.0434569 14808.1
1296.57 884.221 1747.5 1 0.0378122 14808.1
1296.59 884.282 1747.31 1 0.0400097 14808.1
1296.56 884.394 1747.3 1 0.0425093 14808.1
1296.61 884.322 1747.23 1 0.0366192 14808.1
1296.44 884.272 1747.53 1 0.0360728 14808.1
1296.62 884.268 1747.38 1 0.0400097 14808.1
1296.46 884.668 1747.32 1 0.0368103 14808.1
1296.67 884.474 1747.33 1 0.038347 14809.1
1296.52 884.417 1747.48 1 0.0421644 14809.1
1296.56 884.285 1747.33 1 0.0419563 14809.1
1296.63 884.351 1747.41 1 0.0365892 14809.1
1296.43 884.597 1747.33 1 0.0406736 14809.1
1296.67 884.304 1747.24 1 0.0409124 14809.1
1296.68 884.344 1747.39 1 0.0390708 14809.1
1296.57 884.454 1747.32 1 0.0361863 14809.1
1296.54 884.426 1747.31 1 0.0425093 14809.1
1296.4 884.281 1747.53 1 0.0397442 14809.1
1296.64 884.5 1747.25 1 0.038347 14809.1
1296.56 884.464 1747.41 1 0.0361863 14809.1
1296.66 884.4 1747.35 1 0.0395473 14809.1
1296.44 884.688 1747.36 1 0.038619 14810.1
1296.61 884.251 1747.3 1 0.0400097 14810.1
1296.67 884.422 1747.38 1 0.0395473 14810.1
1296.49 884.339 1747.51 1 0.0360728 14810.1
1296.63 884.357 1747.48 1 0.0368356 14810.1
1296.64 884.253 1747.36 1 0.0368807 14810.1
1296.65 884.291 1747.37 1 0.0390708 14810.1
1296.47 884.149 1747.36 1 0.0379743 14811.1
1296.57 884.509 1747.38 1 0.0361863 14811.1
1296.64 884.248 1747.27 1 0.0400311 14811.1
1296.55 884.316 1747.25 1 0.0419563 14811.1
1296.64 884.366 1747.21 1 0.0409124 14811.1
1296.49 884.523 1747.24 1 0.0414597 14811.1
1296.67 884.268 1747.39 1 0.0368807 14811.1
1296.64 884.285 1747.24 1 0.0366192 14811.1
1296.44 884.165 1747.57 1 0.036447 14811.1
1296.64 884.283 1747.42 1 0.0390708 14811.1
1296.53 884.126 1747.41 1 0.0383113 14811.1
1296.5 884.444 1747.32 1 0.0393215 14811.1
1296.63 884.494 1747.29 1 0.038347 14811.1
1296.68 884.317 1747.28 1 0.0364764 14812.1
1296.56 884.161 1747.36 1 0.0392072 14812.1
1296.64 884.471 1747.41 1 0.0410124 14812.1
1296.62 884.387 1747.46 1 0.0368348 14812.1
1296.61 884.356 1747.44 1 0.0384835 14812.1
1296.47 884.519 1747.34 1 0.0370184 14812.1
1296.61 884.229 1747.47 1 0.0426711 14812.1
1296.65 884.241 1747.32 1 0.0378817 14812.1
1296.56 884.127 1747.4 1 0.0392072 14812.1
1296.64 884.315 1747.21 1 0.0366192 14812.1
1296.68 884.347 1747.26 1 0.0364764 14813.1
1296.5 884.185 1747.5 1 0.0389318 14813.1
1296.63 884.396 1747.38 1 0.038883 14813.1
1296.6 884.238 1747.52 1 0.0394326 14813.1
1296.56 884.398 1747.49 1 0.0368348 14813.1
1296.51 884.496 1747.26 1 0.0393215 14813.1
1296.6 884.168 1747.46 1 0.0415786 14813.1
1296.66 884.523 1747.28 1 0.038347 14813.1
1296.43 884.649 1747.35 1 0.0411632 14813.1
1296.65 884.354 1747.28 1 0.0364764 14814.1
1296.49 884.192 1747.31 1 0.0361461 14814.1
1296.58 884.502 1747.46 1 0.0404053 14814.1
1296.57 884.463 1747.44 1 0.0410124 14814.1
1296.46 884.638 1747.25 1 0.036646 14814.1
1296.49 884.162 1747.29 1 0.0361461 14814.1
1296.65 884.336 1747.18 1 0.0392025 14814.1
1296.67 884.305 1747.44 1 0.0390708 14814.1
1296.59 884.234 1747.39 1 0.0414757 14815.1
1296.43 884.341 1747.54 1 0.0376289 14815.1
1296.61 884.543 1747.39 1 0.0389612 14815.1
1296.57 884.296 1747.52 1 0.036645 14815.1
1296.67 884.188 1747.44 1 0.0372475 14815.1
1296.67 884.229 1747.21 1 0.0371035 14815.1
1296.44 884.537 1747.49 1 0.0412692 14815.1
1296.65 884.334 1747.47 1 0.0384835 14815.1
1296.41 884.542 1747.46 1 0.0434569 14815.1
1296.59 884.317 1747.33 1 0.0400097 14815.1
1296.46 884.648 1747.29 1 0.036646 14815.1
1296.66 884.453 1747.3 1 0.038347 14815.1
1296.63 884.209 1747.33 1 0.0378817 14816.1
1296.59 884.51 1747.42 1 0.0389612 14816.1
1296.64 884.216 1747.3 1 0.0378817 14816.1
1296.62 884.472 1747.37 1 0.0361863 14816.1
1296.64 884.429 1747.48 1 0.0368348 14816.1
1296.64 884.178 1747.46 1 0.0434329 14816.1
1296.67 884.184 1747.36 1 0.0378817 14816.1
1296.65 884.298 1747.17 1 0.0371035 14816.1
1296.63 884.243 1747.19 1 0.0371035 14816.1
1296.64 884.279 1747.2 1 0.0366192 14816.1
1296.56 884.519 1747.27 1 0.0421567 14816.1
1296.65 884.173 1747.33 1 0.0378817 14816.1
1296.67 884.22 1747.35 1 0.0368807 14816.1
1296.45 884.612 1747.28 1 0.036646 14816.1
1296.61 884.525 1747.33 1 0.0421567 14816.1
1296.48 884.59 1747.39 1 0.039528 14816.1
1296.51 884.454 1747.25 1 0.0374757 14816.1
1296.66 884.448 1747.17 1 0.0396767 14817.1
1296.64 884.209 1747.26 1 0.0400311 14817.1
1296.66 884.37 1747.48 1 0.0372721 14817.1
1296.67 884.484 1747.46 1 0.0378456 14817.1
1296.61 884.479 1747.47 1 0.0410124 14817.1
1296.67 884.233 1747.26 1 0.041334 14817.1
1296.56 884.151 1747.47 1 0.0389318 14817.1
1296.64 884.408 1747.19 1 0.0396767 14818.1
1296.49 884.428 1747.28 1 0.0393215 14818.1
1296.64 884.464 1747.5 1 0.0384698 14818.1
1296.65 884.251 1747.15 1 0.0371035 14818.1
1296.47 884.245 1747.26 1 0.0364563 14818.1
1296.51 884.558 1747.26 1 0.0389319 14818.1
1296.49 884.605 1747.35 1 0.0411632 14818.1
1296.41 884.292 1747.14 1 0.0366633 14818.1
1296.42 884.304 1747.55 1 0.0397442 14818.1
1296.63 884.207 1747.22 1 0.0430351 14818.1
1296.64 884.179 1747.29 1 0.0361285 14818.1
1296.5 884.119 1747.35 1 0.0379743 14818.1
1296.44 884.693 1747.29 1 0.0413843 14818.1
1296.57 884.248 1747.31 1 0.0414757 14819.1
1296.62 884.386 1747.41 1 0.0384835 14819.1
1296.43 884.446 1747.12 1 0.0382266 14819.1
1296.53 884.398 1747.22 1 0.0374757 14819.1
1296.5 884.344 1747.21 1 0.0401979 14819.1
1296.6 884.441 1747.45 1 0.0368348 14819.1
1296.47 884.526 1747.21 1 0.0414597 14819.1
1296.67 884.412 1747.5 1 0.0372721 14819.1
1296.66 884.531 1747.41 1 0.0378456 14819.1
1296.49 884.552 1747.31 1 0.0370184 14819.1
1296.48 884.519 1747.3 1 0.0370184 14819.1
1296.57 884.201 1747.54 1 0.0374372 14819.1
1296.63 884.51 1747.4 1 0.0410124 14819.1
1296.65 884.274 1747.3 1 0.0400097 14819.1
1296.59 884.355 1747.29 1 0.0400007 14819.1
1296.63 884.582 1747.36 1 0.0379525 14819.1
1296.68 884.168 1747.3 1 0.0378817 14820.1
1296.57 884.245 1747.36 1 0.0414757 14820.1
1296.57 884.428 1747.47 1 0.0368348 14820.1
1296.68 884.296 1747.2 1 0.0371035 14820.1
1296.66 884.335 1747.42 1 0.0384835 14820.1
1296.64 884.17 1747.25 1 0.0361285 14820.1
1296.64 884.312 1747.27 1 0.0400007 14820.1
1296.43 884.629 1747.31 1 0.036646 14820.1
1296.65 884.323 1747.38 1 0.0365892 14820.1
1296.56 884.416 1747.37 1 0.038883 14821.1
1296.6 884.563 1747.42 1 0.0389612 14821.1
1296.68 884.266 1747.22 1 0.0371035 14821.1
1296.42 884.547 1747.33 1 0.0406736 14821.1
1296.44 884.67 1747.26 1 0.036646 14821.1
1296.64 884.556 1747.33 1 0.0421351 14821.1
1296.5 884.158 1747.53 1 0.036447 14821.1
1296.46 884.193 1747.19 1 0.040435 14821.1
1296.54 884.483 1747.29 1 0.0393215 14821.1
1296.41 884.362 1747.51 1 0.0397442 14822.1
1296.58 884.445 1747.37 1 0.0361863 14822.1
1296.6 884.344 1747.2 1 0.0366192 14822.1
1296.42 884.609 1747.39 1 0.0369184 14822.1
1296.67 884.439 1747.53 1 0.0384698 14822.1
1296.68 884.277 1747.15 1 0.0371035 14822.1
1296.68 884.331 1747.1 1 0.0372511 14822.1
1296.59 884.478 1747.4 1 0.0361863 14822.1
1296.59 884.217 1747.31 1 0.0400311 14823.1
1296.44 884.481 1747.15 1 0.0406632 14823.1
1296.6 884.442 1747.41 1 0.038883 14823.1
1296.41 884.354 1747.1 1 0.0389954 14823.1
1296.44 884.427 1747.09 1 0.0382266 14823.1
1296.66 884.406 1747.46 1 0.0384698 14823.1
1296.51 884.588 1747.32 1 0.0389319 14823.1
1296.64 884.342 1747.24 1 0.0400007 14823.1
1296.59 884.556 1747.46 1 0.0395399 14823.1
1296.47 884.31 1747.22 1 0.0389765 14823.1
1296.43 884.699 1747.23 1 0.0366277 14823.1
1296.65 884.377 1747.16 1 0.0392025 14824.1
1296.47 884.368 1747.23 1 0.0396846 14824.1
1296.58 884.551 1747.26 1 0.0371424 14824.1
1296.64 884.463 1747.46 1 0.0384698 14824.1
1296.62 884.532 1747.44 1 0.0395399 14824.1
1296.68 884.239 1747.3 1 0.0378817 14824.1
1296.41 884.612 1747.28 1 0.036646 14824.1
1296.41 884.661 1747.3 1 0.036646 14824.1
1296.54 884.203 1747.5 1 0.0378122 14824.1
1296.44 884.728 1747.26 1 0.0413843 14824.1
1296.6 884.602 1747.43 1 0.0395399 14824.1
1296.68 884.394 1747.14 1 0.0395624 14825.1
1296.62 884.221 1747.37 1 0.0368807 14825.1
1296.56 884.196 1747.3 1 0.0414757 14825.1
1296.58 884.319 1747.22 1 0.0366192 14825.1
1296.58 884.413 1747.23 1 0.0425093 14825.1
1296.45 884.464 1747.09 1 0.0382266 14825.1
1296.52 884.358 1747.33 1 0.0412331 14825.1
1296.66 884.373 1747.41 1 0.0384835 14825.1
1296.68 884.201 1747.28 1 0.0378817 14825.1
1296.59 884.349 1747.35 1 0.0365892 14825.1
1296.6 884.512 1747.26 1 0.0398241 14825.1
1296.44 884.165 1747.22 1 0.0381536 14825.1
1296.43 884.682 1747.19 1 0.0366277 14826.1
1296.64 884.364 1747.52 1 0.0368356 14826.1
1296.67 884.341 1747.5 1 0.0372721 14826.1
1296.67 884.477 1747.52 1 0.0384698 14826.1
