x z
1300.06 1749.72
1296.78 1748.98
1296.7 1745.53
1298.8 1750.1
1297.01 1749.16
1296.61 1748.4
1301.27 1746.93
1296.43 1748.26
1296.46 1747.69
1300.93 1749
1300.72 1749.14
1301.09 1746.14
1301.27 1747.53
1296.41 1747.87
1301.06 1747.36
1296.49 1745.04
1297.95 1749.98
1296.69 1745.81
1300.61 1749.31
1296.61 1747.9
1296.61 1747.61
1300.32 1749.34
1301.08 1747.62
1296.67 1747.52
1298.45 1750
1301.08 1746.33
1300.78 1749.23
1300.9 1749.04
1296.43 1747.77
1300.64 1749.11
1301.02 1745.93
1296.47 1746.78
1296.63 1745.12
1296.58 1748.55
1296.39 1747.11
1301 1747.63
1301.15 1747.51
1297.84 1749.95
1301.06 1747.99
1300.66 1749.27
1298.07 1749.91
1300.91 1748.39
1300.93 1748.74
1296.51 1747.36
1296.52 1746.4
1301.15 1746.09
1300.42 1749.4
1301.01 1748.26
1300.76 1748.75
1297.74 1749.74
1299.16 1750.04
1301.16 1745.63
1300.37 1749.4
1296.68 1745.55
1301.04 1748.6
1296.68 1747.01
1301.26 1747.84
1296.47 1747.13
1298.69 1750.2
1296.54 1744.92
1301 1747
1298.3 1749.91
1300.13 1749.56
1300.88 1745.07
1297.32 1749.52
1301.26 1745.67
1296.43 1748.19
1300.23 1749.69
1301.01 1746.6
1300.8 1748.93
1301.3 1745.15
1300.71 1749.19
1301.06 1747.25
1298.01 1750.06
1301.24 1747.82
1299.88 1749.81
1301.2 1747.64
1301.19 1745.73
1300.25 1749.53
1296.43 1745.15
1297.23 1749.38
1297.35 1749.7
1300.87 1748.7
1299.4 1750.15
1297.74 1749.91
1300.94 1748.28
1296.82 1748.89
1298.89 1750.19
1300.2 1749.74
1298.45 1750.04
1300.73 1749.19
1296.55 1747.67
1301.18 1746.69
1296.51 1745.63
1296.63 1746.14
1298.33 1750.02
1297.71 1749.7
1298.59 1749.93
1296.6 1746.74
1296.88 1748.69
1301.21 1746.81
1297.31 1749.31
1296.46 1747.86
1298.78 1750.08
1301.28 1746.66
1299.38 1750.16
1298.99 1749.93
1297.04 1749.29
1296.61 1746.21
1296.42 1745.85
1299.82 1749.74
1299.48 1750.11
1298.99 1750.16
1299.18 1749.9
1297.11 1749.23
1297.97 1749.99
1301 1747.61
1299.69 1750.05
1300.19 1749.61
1300.41 1749.61
1296.64 1747.42
1301.09 1746.99
1296.42 1746.01
1299.73 1749.95
1301.11 1747.44
1296.55 1746.28
1301.17 1746.6
1301.06 1745.72
1300.23 1749.53
1297.04 1749.43
1296.85 1745.19
1298.86 1750.19
1299.58 1750.02
1300.86 1748.54
1301.15 1748.31
1296.57 1748.02
1301.2 1748.32
1301.22 1748.2
1296.49 1745.75
1296.92 1748.78
1297.72 1749.8
1296.54 1745.11
1296.69 1744.96
1301.02 1748.19
1296.5 1748.34
1296.53 1745.25
1296.77 1748.42
1301.08 1745.98
1296.55 1746.92
1296.47 1747.39
1301.1 1747.6
1296.58 1748.24
1297.16 1749.43
1300.29 1749.44
1296.49 1746.41
1301.13 1745.61
1300.32 1749.35
1296.78 1749.1
1299.84 1749.81
1296.45 1745
1299.2 1750.16
1299.9 1749.97
1301.2 1746.89
1301.02 1746.32
1301.01 1746.5
1297.21 1749.47
1301.12 1746.82
1297.01 1749.28
1296.57 1748.46
1297.64 1749.83
1299.95 1749.88
1296.41 1746.7
1298.46 1750.13
1298.53 1750.06
1300.55 1749.49
1298.07 1749.87
1296.43 1745.5
1296.57 1748.68
1300.96 1745.24
1296.63 1747.69
1296.93 1749.29
1301 1745.18
1296.68 1746.59
1300.01 1749.9
1298.87 1749.95
1296.62 1746.06
1296.69 1745.95
1296.8 1748.49
1301.05 1748.47
1300.78 1748.7
1296.5 1745.35
1297.36 1749.53
1300.67 1749.34
1300 1749.59
1296.78 1748.95
1300.98 1747.99
1296.64 1745.27
1296.41 1748.06
1297.25 1749.25
1301.3 1745.03
1297.45 1749.56
1299.07 1750.1
1299.85 1749.69
1301.23 1746.71
1296.53 1747.58
1301.12 1745.04
1296.93 1749.07
1298.22 1750.02
1296.55 1746.04
1300.65 1748.96
1300.98 1748.63
1301.12 1745.33
1301.14 1745.66
1301.23 1746.52
1296.82 1748.92
1296.41 1746.66
1296.68 1746.77
1301.28 1746.35
1301.07 1747.67
1297.29 1749.32
1301.02 1745.92
1298.55 1749.92
1296.67 1747.06
1296.86 1749.23
1301.22 1745.05
1300.99 1747.89
1296.54 1745.29
1296.46 1747.6
1298.74 1749.95
1296.43 1747.44
1300.61 1749.33
1301.09 1748.24
1296.65 1747.8
1296.6 1747.06
1296.8 1748.68
1298.86 1750.03
1300.89 1748.7
1296.54 1747.98
1296.63 1746.58
1298.73 1749.94
1297.09 1749.18
1301.21 1746.41
1298.9 1750.05
1301.24 1747.43
1297.51 1749.65
1299.92 1749.95
1297.07 1749.36
1300.87 1748.71
1300.53 1749.5
1300.99 1748.52
1296.47 1747
1296.64 1748.69
1300.82 1748.95
1296.52 1747.37
1299.97 1749.91
1298.73 1750.16
1297.2 1749.56
1297.1 1749.5
1300.87 1749.1
1301.08 1746.48
1296.56 1746.5
1296.54 1747.42
1299.26 1750.18
1301.15 1747.79
1301.01 1748.42
1298.36 1750.12
1299.19 1749.94
1296.67 1747.95
1297.84 1749.85
1297.98 1749.86
1296.43 1746.02
1301.01 1746.64
1301.15 1747.58
1296.4 1747.48
1300.89 1748.92
1299.97 1749.8
1301.27 1747.22
1301.21 1748.02
1298.54 1750.15
1296.86 1745.02
1296.54 1746.56
1300.72 1749.13
1297.36 1749.63
1300.88 1748.44
1300.98 1748.05
1296.49 1745.66
1301.2 1746.36
1300.3 1749.35
1296.59 1748.22
1298.9 1750.07
1300.55 1749.08
1300.93 1748.52
1296.58 1748.15
1299.68 1750.01
1298.18 1750.02
1296.54 1747.04
1301.3 1745.11
1297.44 1749.77
1301.11 1745.21
1301.16 1745.41
1297.75 1749.95
1301.09 1747.88
1300.51 1749.53
