x z dx dz dmag
1301.06 1745.7 3.08205e-10 -1.32658e-07 1.32658e-07
1301.02 1745.77 -6.72296e-10 -1.33961e-07 1.33963e-07
1296.45 1746.72 5.23837e-09 -9.47729e-08 9.49176e-08
1296.46 1745.03 -5.00809e-09 -4.99298e-08 5.01803e-08
1296.55 1744.98 -4.76421e-09 -4.52584e-08 4.55085e-08
1296.47 1747.95 -3.03927e-10 -1.07232e-07 1.07232e-07
1299.48 1749.83 1.15054e-09 -2.48156e-08 2.48423e-08
1301.21 1747.37 5.97144e-10 -1.03411e-07 1.03412e-07
1296.64 1747.52 7.48917e-09 -1.45799e-07 1.45991e-07
1296.68 1746.56 6.6146e-09 -1.59396e-07 1.59533e-07
1296.59 1745.17 -3.23957e-09 -8.34672e-08 8.35301e-08
1301.06 1747.06 -5.00209e-09 -1.49742e-07 1.49825e-07
1297.89 1749.92 -3.73845e-09 -4.41809e-08 4.43388e-08
1301.14 1745.37 -9.28238e-10 -9.79077e-08 9.79121e-08
1298.64 1750.21 7.86348e-11 -2.94335e-08 2.94336e-08
1301.02 1746.07 -2.50518e-09 -1.44455e-07 1.44477e-07
1300.52 1749.14 1.877e-08 -6.55654e-08 6.81992e-08
1301.16 1747.51 -3.42322e-09 -1.18125e-07 1.18175e-07
1300.92 1748.68 1.98755e-08 -9.54126e-08 9.74608e-08
1296.85 1748.84 -2.08839e-08 -8.49625e-08 8.74915e-08
1299.66 1749.99 3.43567e-09 -4.42557e-08 4.43889e-08
1300.52 1749.13 1.77463e-08 -6.03325e-08 6.28883e-08
1296.4 1746.67 -9.90683e-09 -6.33496e-08 6.41195e-08
1296.53 1746.45 9.00976e-09 -1.40686e-07 1.40974e-07
1301.01 1746.4 -2.74251e-09 -1.50864e-07 1.50889e-07
1296.52 1746.38 7.68903e-09 -1.35208e-07 1.35426e-07
1300.97 1748.29 1.35215e-08 -1.2161e-07 1.22359e-07
1298.95 1749.95 -5.0869e-11 -2.85314e-08 2.85314e-08
1296.62 1747.81 3.92821e-09 -1.3747e-07 1.37526e-07
1301.02 1746.55 -5.21412e-09 -1.49474e-07 1.49565e-07
1301.1 1745.71 6.34261e-10 -1.25985e-07 1.25986e-07
1301.1 1746.35 -4.21242e-09 -1.38438e-07 1.38502e-07
1296.61 1748.11 -7.69169e-09 -1.22003e-07 1.22246e-07
1296.99 1748.91 -2.70723e-08 -7.34961e-08 7.83236e-08
1297.64 1749.68 -9.80305e-09 -4.03983e-08 4.15707e-08
1301.02 1745.64 -1.05528e-09 -1.26401e-07 1.26406e-07
1301.19 1747.11 3.60917e-09 -1.22767e-07 1.2282e-07
1300.5 1749.54 4.01341e-09 -4.55636e-08 4.57401e-08
1300.73 1748.97 1.4986e-08 -8.40868e-08 8.54118e-08
1296.89 1749.07 -1.4814e-08 -6.97729e-08 7.13282e-08
1296.41 1746.89 -7.28206e-09 -6.9003e-08 6.93862e-08
1300.52 1749.3 1.60483e-08 -6.30977e-08 6.51066e-08
1298.46 1750.18 -2.96728e-10 -3.72863e-08 3.72875e-08
1296.47 1747.61 1.12252e-09 -1.06443e-07 1.06449e-07
1296.71 1748.78 -1.10042e-08 -7.78859e-08 7.86595e-08
1296.43 1746.43 6.60273e-09 -8.42391e-08 8.44975e-08
1296.62 1747.42 6.64891e-09 -1.44636e-07 1.44788e-07
1301.01 1746.83 -2.10317e-09 -1.54248e-07 1.54262e-07
1297.26 1749.6 -4.94936e-09 -4.15423e-08 4.18361e-08
1297.18 1749.45 -1.26575e-08 -5.30311e-08 5.45207e-08
1301.02 1745.85 -7.55724e-10 -1.37688e-07 1.3769e-07
1296.67 1745.22 -1.82124e-09 -9.10977e-08 9.11159e-08
1300.21 1749.68 7.29077e-09 -4.89389e-08 4.9479e-08
1298.31 1749.99 -2.69854e-09 -3.90803e-08 3.91733e-08
1301.25 1747.95 1.58408e-09 -6.07731e-08 6.07937e-08
1301.14 1746.16 -3.69736e-09 -1.24136e-07 1.24191e-07
1296.61 1746.58 7.70612e-09 -1.53793e-07 1.53986e-07
1299.39 1749.87 1.92668e-09 -3.61809e-08 3.62322e-08
1299.77 1749.91 3.9864e-09 -4.46513e-08 4.48289e-08
1300.76 1749.21 8.44243e-09 -6.1228e-08 6.18073e-08
1301.19 1746.17 -1.28267e-09 -1.1243e-07 1.12438e-07
1296.55 1747.92 6.93251e-10 -1.18779e-07 1.18781e-07
1300.54 1749.37 1.07987e-08 -6.03931e-08 6.1351e-08
1300.29 1749.52 1.43506e-08 -4.75271e-08 4.96464e-08
1297.49 1749.76 -6.23796e-09 -4.62154e-08 4.66345e-08
1296.5 1746.28 3.20565e-10 -1.21228e-07 1.21228e-07
1301.12 1747.51 3.49354e-09 -1.39696e-07 1.39739e-07
1296.41 1746.69 -1.1941e-08 -6.97079e-08 7.07232e-08
1300.27 1749.73 1.99613e-09 -2.65236e-08 2.65986e-08
1298.36 1750.02 -2.88273e-09 -3.83502e-08 3.84584e-08
1301.1 1745.51 9.01588e-10 -1.14892e-07 1.14896e-07
1300.42 1749.41 1.47555e-08 -5.6137e-08 5.80438e-08
1299.46 1750.05 2.99321e-09 -3.64208e-08 3.65436e-08
1296.69 1746.13 3.84264e-09 -1.55674e-07 1.55721e-07
1296.89 1748.86 -2.13872e-08 -8.35084e-08 8.62037e-08
1299.71 1750.04 -2.19748e-09 -3.19744e-08 3.20499e-08
1300.4 1749.45 1.51942e-08 -5.98268e-08 6.17261e-08
1298.69 1750.01 -3.72259e-10 -3.5857e-08 3.58589e-08
1301.09 1746.58 -5.13581e-09 -1.34516e-07 1.34614e-07
1296.64 1745.27 -2.54457e-09 -9.6218e-08 9.62516e-08
1301.08 1746.92 -5.08993e-09 -1.42644e-07 1.42735e-07
1296.52 1746.02 5.01939e-09 -1.17431e-07 1.17538e-07
1298.76 1749.99 -4.17741e-10 -3.28653e-08 3.2868e-08
1296.63 1746.03 6.41161e-09 -1.39957e-07 1.40104e-07
1296.59 1746.73 5.91468e-09 -1.49012e-07 1.4913e-07
1301.16 1746.59 -5.9239e-09 -1.18574e-07 1.18722e-07
1301.28 1746.72 -4.25732e-09 -6.21682e-08 6.23138e-08
1297.27 1749.58 -9.15177e-09 -4.64807e-08 4.73731e-08
1296.43 1745.18 -6.33476e-09 -4.58997e-08 4.63348e-08
1296.81 1749.14 -2.24838e-10 -4.19764e-08 4.1977e-08
1299.79 1749.95 3.33387e-09 -4.77045e-08 4.78209e-08
1299.89 1749.82 5.51484e-09 -4.39986e-08 4.43428e-08
1298.06 1750.08 8.92293e-10 -3.12834e-08 3.12961e-08
1300.74 1749.08 1.49349e-08 -7.39877e-08 7.548e-08
1296.49 1746.84 6.81163e-09 -1.11173e-07 1.11382e-07
1300.56 1749.08 1.84146e-08 -6.3606e-08 6.62179e-08
1296.7 1745.24 -2.65914e-09 -9.40544e-08 9.4092e-08
1301.01 1746.54 -2.54303e-09 -1.48873e-07 1.48895e-07
1296.5 1745.15 -4.14564e-09 -6.67174e-08 6.6846e-08
1296.67 1746.98 7.198e-09 -1.52267e-07 1.52437e-07
1296.43 1745.1 -3.97619e-09 -3.92533e-08 3.94541e-08
1296.7 1748.39 -8.5444e-09 -1.19708e-07 1.20013e-07
1296.72 1748.72 -1.5799e-08 -9.02614e-08 9.16336e-08
1297.18 1749.58 -4.88064e-09 -3.32623e-08 3.36184e-08
1296.68 1748.83 -1.0061e-08 -7.51609e-08 7.58313e-08
1297.23 1749.32 -1.87248e-08 -5.69333e-08 5.99335e-08
1301.24 1747.68 -3.70609e-09 -9.68125e-08 9.68834e-08
1300.59 1749.16 1.88429e-08 -6.93655e-08 7.18793e-08
1296.43 1746.94 5.14271e-09 -9.55793e-08 9.57175e-08
1300.91 1748.91 1.43778e-08 -6.90566e-08 7.05375e-08
1299.29 1750.1 1.95696e-09 -3.89444e-08 3.89936e-08
1301.13 1745.51 -2.36307e-09 -1.07951e-07 1.07977e-07
1301.21 1745.52 5.01403e-09 -9.74331e-08 9.7562e-08
1300.29 1749.53 1.54425e-08 -5.54461e-08 5.75564e-08
1300.58 1749.09 1.97744e-08 -7.11202e-08 7.38181e-08
1299.74 1749.92 4.95536e-09 -4.81697e-08 4.84239e-08
1301.2 1747.18 -2.18773e-09 -1.15402e-07 1.15423e-07
1301 1747.21 -4.61914e-09 -1.56675e-07 1.56743e-07
1299.67 1749.77 1.08352e-09 -3.23389e-08 3.2357e-08
1296.77 1748.42 -2.10144e-08 -1.06472e-07 1.08526e-07
1296.5 1746.31 3.41101e-09 -1.09039e-07 1.09092e-07
1296.61 1748.35 -1.08095e-08 -1.02392e-07 1.02961e-07
1300.15 1749.48 1.38563e-08 -4.14944e-08 4.37468e-08
1301 1747.53 -1.63659e-09 -1.54723e-07 1.54731e-07
1301.21 1746.04 -1.04996e-09 -1.05628e-07 1.05633e-07
1296.85 1745.09 1.7616e-09 -8.37896e-08 8.38081e-08
1296.79 1744.98 -3.01232e-09 -6.55591e-08 6.56283e-08
1296.59 1745.24 -2.11161e-09 -9.09843e-08 9.10088e-08
1296.48 1747.12 6.47887e-09 -1.07932e-07 1.08126e-07
1296.81 1748.91 -1.70577e-08 -7.79072e-08 7.97527e-08
1301.28 1746.42 4.2326e-09 -6.71431e-08 6.72763e-08
1296.47 1747.38 4.12739e-09 -1.01261e-07 1.01345e-07
1300.32 1749.34 1.69228e-08 -4.9632e-08 5.24377e-08
1299.66 1749.77 2.41498e-09 -3.94496e-08 3.95234e-08
1299.34 1750.15 -6.47566e-10 -2.63628e-08 2.63707e-08
1300.22 1749.77 -9.4056e-10 -3.58592e-08 3.58716e-08
1296.49 1746.63 3.7008e-09 -1.28739e-07 1.28793e-07
1301 1747.62 -2.62637e-09 -1.54526e-07 1.54548e-07
1299.79 1749.89 4.07087e-09 -4.47125e-08 4.48975e-08
1301.25 1747.91 6.30648e-09 -6.38935e-08 6.42039e-08
1297.42 1749.73 -4.14968e-09 -4.58638e-08 4.60511e-08
1301.28 1745.51 5.03402e-09 -7.77203e-08 7.78832e-08
1300.99 1745.08 7.23446e-10 -6.09366e-08 6.09409e-08
1300.22 1749.76 4.53912e-10 -3.31202e-08 3.31233e-08
1301.14 1746.3 -5.25021e-09 -1.24576e-07 1.24687e-07
1296.64 1746.21 3.46902e-09 -1.51793e-07 1.51833e-07
1300.34 1749.54 1.25087e-08 -5.95958e-08 6.08944e-08
1297.85 1749.82 -6.36372e-09 -4.27133e-08 4.31847e-08
1301.23 1745.26 -2.57554e-09 -7.47845e-08 7.48289e-08
1301.19 1747.87 7.63249e-10 -1.03103e-07 1.03106e-07
1297.73 1749.72 -6.69725e-09 -3.71367e-08 3.77357e-08
1301.21 1747.49 -2.38861e-09 -1.05677e-07 1.05704e-07
1296.43 1747.98 1.26159e-09 -9.2585e-08 9.25936e-08
1300.38 1749.39 1.53801e-08 -5.97406e-08 6.16886e-08
1296.6 1747.6 7.95754e-09 -1.37609e-07 1.37839e-07
1296.84 1748.6 -2.09753e-08 -9.14644e-08 9.38387e-08
1296.61 1748.45 -5.43644e-09 -1.07566e-07 1.07703e-07
1296.78 1744.98 -1.51654e-09 -5.75782e-08 5.75982e-08
1296.58 1746.9 6.92032e-09 -1.46391e-07 1.46554e-07
1298.53 1750.17 2.94896e-12 -3.08113e-08 3.08113e-08
1298.31 1750.13 -3.28428e-10 -3.2875e-08 3.28767e-08
1296.54 1747.32 6.24462e-09 -1.31308e-07 1.31457e-07
