x z sxx syy szz sxy sxz syz
1305.03 1762.67 -867363 -925084 -1.60854e+06 -167620 -327887 49484
1305.03 1762.67 -865434 -924232 -1.60674e+06 -167789 -327601 49192.9
1305.36 1763.52 -882848 -931816 -1.6026e+06 -156454 -329049 52002.1
1305.36 1763.53 -873381 -925057 -1.5987e+06 -160384 -327552 50932.2
1305.35 1763.53 -867595 -921398 -1.59583e+06 -162367 -326700 50231.2
1305.35 1763.54 -863590 -918725 -1.59231e+06 -163204 -326062 49761
1305.35 1763.54 -861160 -917528 -1.59039e+06 -163564 -325769 49431
1305.69 1764.43 -874241 -922411 -1.58784e+06 -155772 -326746 51697.7
1305.69 1764.44 -866975 -917271 -1.58365e+06 -158157 -325548 50886.2
1305.69 1764.44 -862143 -913935 -1.57995e+06 -159355 -324787 50304.9
1305.69 1764.45 -858896 -912049 -1.57725e+06 -159909 -324348 49894.4
1305.69 1764.45 -856692 -911136 -1.5754e+06 -160111 -324069 49589.5
1306.04 1765.39 -858585 -906951 -1.56802e+06 -157059 -322828 50884.5
1306.04 1765.4 -856535 -905979 -1.5658e+06 -157263 -322608 50564.1
1306.04 1765.4 -853472 -903753 -1.56145e+06 -157249 -322229 50141.9
1306.04 1765.4 -850750 -902005 -1.55736e+06 -157034 -321867 49798.7
1306.04 1765.4 -849049 -901066 -1.55481e+06 -156811 -321636 49549.1
1306.41 1766.4 -846557 -894360 -1.54775e+06 -156005 -319571 50519.6
1306.41 1766.4 -845185 -893358 -1.54412e+06 -155388 -319337 50305
1306.41 1766.4 -843601 -892479 -1.54089e+06 -154786 -319117 50066.8
1306.41 1766.41 -842429 -891986 -1.53856e+06 -154397 -319028 49817.9
1306.41 1766.41 -841432 -891513 -1.53648e+06 -153952 -318970 49603.4
1306.8 1767.46 -834192 -880177 -1.52218e+06 -153501 -315976 50362.2
1306.8 1767.46 -833598 -880251 -1.52055e+06 -153020 -315932 50138.4
1306.8 1767.46 -832606 -879896 -1.51828e+06 -152466 -315728 49895.8
1306.8 1767.46 -831973 -879871 -1.51681e+06 -151998 -315659 49722.2
1306.8 1767.46 -831863 -880475 -1.51642e+06 -151587 -315636 49547
1303.42 1761.06 -869223 -929242 -1.62675e+06 -177239 -329525 48011.5
1303.42 1761.06 -867669 -928928 -1.62376e+06 -176702 -329503 47781
1303.66 1761.82 -869614 -925101 -1.61937e+06 -174199 -328582 48946.4
1303.65 1761.83 -868027 -924471 -1.61634e+06 -173735 -328353 48716.6
1303.65 1761.84 -866655 -923784 -1.61358e+06 -173458 -328088 48477.6
1303.65 1761.84 -864666 -922594 -1.60976e+06 -172982 -327689 48218
1303.65 1761.85 -863336 -922260 -1.60735e+06 -172539 -327533 48025.4
1303.9 1762.65 -867731 -920588 -1.60414e+06 -168760 -327170 49499.2
1303.9 1762.66 -865703 -919676 -1.60193e+06 -168946 -327041 49183.2
1303.9 1762.66 -863032 -917668 -1.59709e+06 -168706 -326413 48825.3
1303.89 1762.67 -860784 -916347 -1.59352e+06 -168488 -326046 48538.5
