x z szz sxx pp
1057.99 1703.4 -1.08257e+06 -737820 0
722.392 1671.95 -520534 -472908 0
1104.35 1716.96 -1.00325e+06 -679784 0
673.585 1675.14 -625196 -523743 0
1205.45 1771.79 -175098 -190287 0
1168.73 1737.8 -668585 -464524 0
1146.93 1726.96 -705227 -471487 0
1241.75 1771.41 -385265 -279142 0
1175.9 1761.42 -185149 -180724 0
1177.7 1752.15 -169397 -169713 0
619.844 1687.71 -444993 -378110 0
1138.83 1745.15 -518512 -352010 0
953.343 1688.44 -915474 -659308 0
1215.3 1768.43 -171078 -146840 0
1185.35 1742.04 -572599 -394917 0
1137.3 1721.09 -863435 -588132 0
1144.8 1730.17 -725800 -475253 0
1159.66 1727.39 -683997 -481512 0
1099.53 1715.37 -1.01382e+06 -687631 0
710.188 1670.61 -555687 -495078 0
1222.74 1760.96 -361040 -246982 0
825.889 1685.58 -434047 -387616 0
1130.6 1727.31 -710649 -473399 0
699.626 1679.43 -331187 -330639 0
1249.6 1785.37 -156141 -101471 0
1200.91 1768 -218738 -192491 0
1240.62 1782.89 -146318 -88711.1 0
1169.78 1758.8 -107064 -124736 0
1175.73 1745.32 -546557 -382786 0
859.922 1676.98 -443790 -382212 0
1111.26 1710.03 -923439 -621430 0
1147.39 1727.54 -642594 -445634 0
1095.97 1717.9 -972948 -653565 0
1109.89 1722.55 -917972 -608266 0
1212.02 1756.36 -378927 -261680 0
1230.64 1773.22 -169216 -131372 0
1154.17 1729.53 -755869 -524888 0
1242.48 1779.01 -157041 -122045 0
698.52 1671.47 -496435 -448962 0
1043.22 1700.83 -996305 -695174 0
1152.12 1751.11 -249571 -207211 0
1272.55 1796.97 -83832.7 -78553.3 0
1072.66 1711.59 -921350 -611434 0
1174.41 1741.61 -639131 -444547 0
1159.5 1759.69 -161364 -126758 0
1309.93 1814.73 -88485.9 -55287.3 0
1161.62 1758.48 -161198 -138527 0
1156.13 1748.59 -436813 -327308 0
799.557 1667.63 -371874 -388680 0
754.136 1669.93 -359287 -376758 0
946.187 1688.92 -799141 -578622 0
647.158 1684.04 -531222 -441947 0
699.398 1682.08 -522733 -457915 0
1051.61 1719.2 -750661 -549720 0
1232.65 1766.09 -383908 -294449 0
