x y z state
1299.42 904.09 1746.59 1
1296.11 874.347 1745.65 1
1296.07 874.379 1745.66 1
1295.53 869.536 1745.31 1
1295.55 869.501 1745.32 1
1295.64 870.787 1746.17 1
1296.42 884.411 1747.46 1
1296.43 884.376 1747.48 1
1295.71 871.442 1746.32 1
1301.03 878.245 1746.26 1
1300.77 894.302 1747.72 1
1299.05 862.001 1745.41 1
1296.12 875.803 1747.39 1
1299.87 867.798 1746.36 1
1295.94 871.625 1746.36 1
1300.95 879.023 1745.31 1
1297.17 875.33 1749.41 1
1295.43 869.331 1746 1
1295.92 872.936 1745.35 1
1295.87 872.929 1745.38 1
1296.13 876.006 1745.56 1
1299.89 867.611 1746.19 1
1299.87 867.636 1746.21 1
1300.06 867.527 1746.51 1
1300.93 878.641 1745.74 1
1295.75 895.741 1746.9 1
1295.65 870.907 1746.08 1
1298.14 885.979 1749.88 1
1298.13 886.02 1749.92 1
1298.11 885.987 1749.93 1
1296.27 875.494 1745.63 1
1295.37 867.347 1746.17 1
1301.03 888.399 1748.23 1
1301.02 888.388 1748.26 1
1296.62 877.951 1748.81 1
1296.32 875.037 1745.48 1
1296.01 872.206 1746.43 1
1295.72 868.986 1747.81 1
1295.7 868.932 1747.75 1
1300.43 896.608 1747.3 1
1300.36 896.588 1747.31 1
1295.93 871.732 1746.73 1
1294.89 866.064 1745.44 1
1299.01 862.363 1745.68 1
1295.46 868.422 1747.98 1
1300.29 869.459 1745.67 1
1296.16 891.509 1748.15 1
1298.57 901.045 1750.49 1
1298.56 901.022 1750.54 1
1296.2 874.737 1745.37 1
1295.97 872.301 1746.57 1
1296.4 880.775 1747.16 1
1295.98 872.447 1746.96 1
1300.44 896.41 1747.22 1
1300.43 896.373 1747.19 1
1295.85 872.898 1746.98 1
1296.36 876.053 1747.17 1
1296.39 876.071 1747.23 1
1295.41 868.603 1745.3 1
1295.15 867.46 1746.19 1
1296.51 881.119 1748.19 1
1296.5 881.172 1748.18 1
1299.39 885.654 1750.15 1
1295.78 895.639 1747.19 1
1295.77 895.68 1747.18 1
1296.21 874.924 1745.46 1
1294.79 865.296 1745.65 1
1300.07 867.785 1745.97 1
1300.7 894.685 1748.5 1
1300.65 894.673 1748.55 1
1300.97 878.443 1745.3 1
1301.01 878.496 1745.34 1
1300.94 878.484 1745.32 1
1299.25 863.054 1745.44 1
1301.21 886.744 1747.68 1
1295.95 873.844 1747.1 1
1300.48 896.817 1747.47 1
1300.47 896.822 1747.43 1
1295.73 871.46 1745.41 1
1296.6 880.778 1747.3 1
1296.53 880.794 1747.3 1
1296.55 880.788 1747.33 1
1295.79 871.277 1746.02 1
1295.77 871.219 1746 1
1295.81 871.254 1746.04 1
1295.78 871.243 1745.97 1
1301.05 878.346 1745.68 1
1296.36 877.715 1745.67 1
1296.02 873.591 1748.06 1
1301.06 877.256 1745.8 1
1301.06 877.298 1745.81 1
1296.03 874.566 1746.97 1
1300.07 867.778 1746.23 1
1300.08 867.801 1746.19 1
1295.83 871.137 1746 1
1300.11 868.123 1746.4 1
1296.1 874.702 1745.34 1
1296.3 877.629 1745.75 1
1296.34 877.657 1745.7 1
1298.56 885.827 1750.08 1
1300.11 868.07 1746.14 1
1301.12 878.233 1745.75 1
1301.12 878.175 1745.76 1
1298.69 907.391 1747.23 1
1296.38 891.461 1748.11 1
