x y z state theta
1300.8 873.89 1747.68 1 2.69926
1293.6 908.994 1747.04 1 187.751
1293.52 908.989 1747.06 1 187.28
1298.82 861.003 1746.56 1 332.657
1300.13 868.258 1746.63 1 344.538
1300.15 868.245 1746.68 1 345.346
1295.98 895.504 1745.34 1 244.779
1295.98 895.527 1745.31 1 245.169
1295.91 895.507 1745.3 1 243.626
1295.93 895.537 1745.34 1 243.606
1299.33 863.733 1747.34 1 356.146
1300.66 872.717 1747.68 1 2.81918
1300.65 872.767 1747.7 1 3.16881
1300.79 873.606 1747.33 1 357.402
1300.76 873.618 1747.35 1 357.674
1299.01 861.902 1745.75 1 319.065
1295.5 869.013 1747.93 1 164.141
1299.51 865.434 1747.92 1 9.47272
1300.15 868.195 1746.27 1 338.694
1299.06 862.213 1747.16 1 350.642
1295.06 901.305 1745.57 1 224.862
1294.96 901.651 1745.77 1 220.336
1294.95 901.685 1745.74 1 220.617
1296.13 909.22 1751.09 1 103.632
1296.1 909.243 1751.07 1 104.152
1300.92 888.185 1747.51 1 0.177609
1301.23 885.414 1747.35 1 357.944
1301.25 885.381 1747.33 1 357.661
1300.42 871.513 1748.05 1 9.1195
1296.28 892.039 1747.92 1 149.525
1296.29 892.113 1747.95 1 147.623
1300.82 874.053 1746.75 1 348.968
1296.34 908.27 1751.06 1 100.472
1299.93 866.925 1745.47 1 325.305
1300.7 882.401 1749.18 1 24.4331
1301.22 881.113 1746.76 1 350.1
1301.22 881.157 1746.75 1 349.926
1299.45 864.124 1746.68 1 341.485
1299.44 864.081 1746.68 1 341.36
1295.96 900.201 1750.14 1 111.491
1301.16 878.851 1745.6 1 335.399
1301.16 878.827 1745.63 1 335.75
1300.89 874.611 1746.78 1 349.471
1301.11 878.235 1746.86 1 351.124
1293.58 908.257 1745.88 1 205.353
1293.61 908.183 1745.86 1 205.833
1300.02 867.402 1746.24 1 337.385
1295.24 868.135 1746.56 1 208.015
1301.02 891.257 1747.17 1 355.347
1301 891.289 1747.21 1 355.842
1300.86 874.59 1747.04 1 353.205
1301.27 884.772 1745.42 1 334.058
1300.1 868.446 1747.78 1 5.22194
1293.19 909.861 1748.35 1 167.368
1300.26 869.458 1746.73 1 346.796
1297.32 882.81 1749.47 1 80.6909
1299.37 863.654 1746.36 1 334.418
1301.19 880.508 1747.18 1 355.571
1300.01 867.551 1746.83 1 347.42
1300.02 867.542 1746.87 1 348.16
1299.97 867.094 1745.75 1 329.438
1300.26 869.076 1746.39 1 341.273
1300.25 869.035 1746.44 1 341.87
1300.97 875.914 1747.73 1 3.37248
1301.21 879.959 1746.8 1 350.507
1298.99 861.71 1746.54 1 334.252
1298.97 861.647 1746.5 1 333.151
1300.5 870.998 1747.48 1 359.65
1299.41 863.895 1745.66 1 322.576
1299.41 863.928 1745.63 1 322.243
1299.39 863.899 1745.62 1 321.815
1301.14 889.783 1745.99 1 340.003
1299.01 861.756 1746.41 1 331.498
1298.98 861.801 1746.42 1 331.467
1299.03 861.825 1746.38 1 331.015
1299.73 865.741 1746.05 1 332.005
1300.02 867.971 1746.28 1 338.035
1300.03 867.917 1746.31 1 338.545
1301.19 880.084 1745.53 1 334.887
1299.62 902.89 1745.65 1 324.807
1299.61 902.846 1745.67 1 324.899
1298.86 861.199 1745.57 1 313.977
1300.33 869.629 1745.72 1 331.834
1301.23 880.495 1746.69 1 349.182
1299.8 866.338 1747.61 1 2.27721
1295.48 868.574 1748.05 1 160.148
1300.88 878.831 1748.61 1 15.9405
1299.82 866.189 1747.14 1 352.758
1296.18 872.629 1748.17 1 140.751
1296.17 872.593 1748.19 1 140.514
1296.1 895.587 1745.31 1 247.724
1299.09 862.266 1746.78 1 341.09
1299.12 862.282 1746.79 1 341.464
1299.11 862.232 1746.75 1 340.396
1295.28 900.61 1745.54 1 228.684
1300.23 870.131 1745.74 1 331.438
1300.23 870.092 1745.74 1 331.47
1301.22 880.846 1745.49 1 334.595
1300.4 870.268 1745.4 1 328.252
1301.25 883.142 1746.36 1 344.936
1296.31 892 1748.25 1 132.286
1296.27 892.031 1748.23 1 134.968
1296.3 892.005 1748.3 1 131.455
1296.26 892.006 1748.29 1 133.093
1296.25 891.978 1748.27 1 134.576
1298.67 904.724 1750.02 1 56.4846
1296.27 892.13 1748.09 1 141.219
1296.29 892.103 1748.11 1 139.401
1301.22 887.459 1746.66 1 348.811
1293.68 908.721 1746.74 1 192.855
1296.08 895.177 1749.31 1 116.913
1296.11 895.234 1749.31 1 116.224
1296.1 895.178 1749.35 1 115.915
1296.07 892.219 1748.11 1 146.707
1296.08 892.218 1748.16 1 144.241
1296.1 892.235 1748.13 1 144.92
1296.07 892.26 1748.17 1 144.517
1296.12 891.655 1748.2 1 141.586
1296.15 891.604 1748.19 1 140.92
1299.92 868.445 1746.17 1 335.509
1299.93 868.405 1746.16 1 335.463
1299.79 866.064 1746.18 1 334.708
1294.74 904.595 1745.68 1 218.789
1293.58 908.863 1746.74 1 192.471
1293.3 909.376 1747.17 1 185.171
1296.95 908.468 1750.86 1 90.8173
1299.23 862.794 1746.12 1 328.125
1299.2 862.815 1746.09 1 327.374
1295.9 896.808 1749.39 1 120.196
1301.13 878.699 1746.89 1 351.651
1301.15 878.681 1746.93 1 352.116
1301.16 878.635 1746.9 1 351.829
1300.7 894.438 1746.1 1 339.267
1300.75 894.487 1746.1 1 339.554
1299.99 867.217 1746.21 1 336.637
1300.01 867.225 1746.27 1 337.737
1300.02 867.273 1746.24 1 337.334
1301.19 880.734 1746.78 1 350.292
1301.21 880.709 1746.75 1 349.954
1300.13 868.023 1745.56 1 328.227
1300.14 868.046 1745.48 1 327.27
1299.09 862.269 1746.63 1 337.332
1299.14 863.125 1747.7 1 5.41966
1300.98 875.893 1745.65 1 335.093
1297.59 908.137 1750.54 1 79.0481
1297.59 908.183 1750.53 1 79.0529
1300.9 892.524 1747.55 1 0.751553
1295.27 901.962 1745.54 1 228.511
1295.3 901.96 1745.57 1 228.565
1300.65 895.036 1748.38 1 13.506
1297.66 909.259 1750.22 1 76.3225
1297.62 903.691 1750.78 1 79.2713
1298.81 903.876 1749.98 1 53.8462
1295.5 868.322 1746.42 1 215.689
1295.52 868.309 1746.36 1 217.782
1300.99 878.571 1745.34 1 331.57
1293.43 908.766 1748.09 1 170.577
1299.41 863.899 1746.27 1 332.923
1299.14 862.702 1746.44 1 333.691
1300.2 870.78 1748.35 1 14.8438
1300.15 868.249 1746.75 1 346.626
1295.2 867.986 1746.38 1 211.865
1301.13 879.217 1748.03 1 7.25637
1300.12 869.861 1746.39 1 340.5
1300.13 869.893 1746.45 1 341.402
1301.04 884.641 1748.7 1 16.5546
1301.26 883.791 1746 1 340.65
1295.01 902.088 1749.3 1 137.778
1294.98 902.038 1749.3 1 138.409
1296.51 884.058 1747.24 1 208.152
1299.69 902.544 1745.71 1 326.309
1300.07 868.427 1747.89 1 7.26473
1301.29 883.283 1745.81 1 338.527
1296.12 894.225 1745.31 1 248.193
1296.2 894.223 1745.3 1 249.888
1296.16 894.243 1745.34 1 248.691
1299.88 898.758 1745.48 1 324.937
1299.24 863.901 1747.88 1 9.73672
1299.24 863.865 1747.94 1 11.0769
1296.42 884.411 1747.46 1 184.434
1296.43 884.376 1747.48 1 181.977
1296.04 895.984 1745.4 1 245.53
1295.94 896.817 1749.42 1 118.804
1301.14 887.8 1748.31 1 11.0141
1298.73 860.633 1746.29 1 324.995
1293.28 909.344 1747.15 1 185.415
1301.21 887.886 1746.89 1 351.691
1300.06 867.78 1746.74 1 346.031
1298.86 862.127 1745.69 1 315.857
1298.82 862.091 1745.66 1 314.599
1299.05 862.003 1745.41 1 314.362
1298.82 860.852 1746.32 1 327.103
1295.61 898.537 1745.41 1 236.279
1295.57 898.519 1745.43 1 235.415
1293.68 907.924 1745.78 1 207.342
1293.75 907.907 1745.77 1 208.075
1293.73 907.884 1745.8 1 207.471
1299.62 864.893 1746.74 1 343.802
1299.59 864.935 1746.77 1 344.271
1301.24 884.588 1747.39 1 358.511
1299.88 867.856 1746.36 1 338.399
1299.89 867.805 1746.39 1 338.934
1299.85 867.848 1746.41 1 339.098
1299.87 867.8 1746.36 1 338.276
1301.04 877.096 1747.06 1 353.807
1299.1 862.755 1746.54 1 335.443
1300.79 873.617 1747.5 1 359.951
1298.07 909.86 1749.19 1 57.646
1301.21 879.836 1746.35 1 344.728
1294.64 903.891 1749.38 1 141.498
1299.89 867.611 1746.19 1 335.616
1299.87 867.629 1746.15 1 334.769
1299.88 867.675 1746.2 1 335.67
1300.06 867.528 1746.51 1 342.078
1300.3 869.555 1747.6 1 1.7156
1299.63 865.187 1747.44 1 358.601
1299.62 865.161 1747.5 1 359.951
1301 879.065 1748.44 1 13.175
1300.55 894.401 1746.09 1 338.381
1300.59 894.371 1746.12 1 338.921
1298.88 861.252 1746.05 1 322.314
1300.82 891.9 1748.86 1 19.5473
1301.03 888.399 1748.23 1 10.2177
1301.02 888.388 1748.26 1 10.7657
1293.43 909.03 1749.29 1 153.399
1297.3 909.533 1750.52 1 84.2874
1297.67 903.399 1750.78 1 78.3826
1296.53 884.239 1747.57 1 171.29
1301.01 876.19 1746.15 1 341.386
1295.72 868.986 1747.81 1 166.445
1295.71 868.923 1747.82 1 165.888
1295.7 868.932 1747.75 1 168.951
1300.32 869.695 1747.33 1 357.127
1296.07 895.418 1745.33 1 246.722
1300.76 894.057 1746.12 1 339.773
1301.02 891.616 1746.65 1 348.053
1295.46 868.423 1747.97 1 162.86
1295.45 868.382 1747.98 1 162.967
