x z r
1296.54 1747.32 0.494744
1299.62 1749.79 3.4843
1299.34 1749.95 3.39065
1296.62 1745.32 2.21733
1301.27 1747.3 4.27737
1301.02 1746.27 4.19832
1296.85 1745.15 2.3567
1296.54 1745.71 1.84252
1296.43 1745.05 2.51089
1299.51 1749.88 3.45454
1300.42 1749.56 3.99066
1301.21 1746.74 4.27492
1301.09 1747.66 4.09578
1300.99 1748.26 4.06293
1301.2 1745.4 4.69433
1296.73 1749 1.52211
1296.49 1746.51 1.11712
1296.77 1745.02 2.49056
1297.08 1749.29 1.7914
1297.55 1749.53 2.10132
1296.6 1747.68 0.436342
1301.23 1745.03 4.89244
1298.66 1750.13 3.1124
1301.3 1745.38 4.7887
1301.17 1745.23 4.74695
1300.23 1749.59 3.84813
1296.6 1744.92 2.61382
1296.6 1747.86 0.540696
1296.7 1745.44 2.0826
1296.59 1748.18 0.795948
1296.5 1748.01 0.709423
1301.17 1746.82 4.22785
1298.7 1749.98 3.00789
1297.37 1749.55 2.08587
1296.55 1745.36 2.19115
1296.51 1745.59 1.97442
1297.93 1750 2.66975
1298.41 1749.98 2.85082
1296.48 1746.35 1.2622
1297.3 1749.55 2.07645
1297.92 1749.76 2.44068
1299.06 1749.91 3.17306
1300.72 1749.06 4.03698
1300.29 1749.5 3.85091
1298.08 1750.09 2.80299
1296.98 1749.26 1.76469
1301.13 1748.3 4.20575
1300.06 1749.72 3.78245
1296.78 1748.98 1.49442
1296.7 1745.53 1.99148
1298.8 1750.1 3.16116
1297.01 1749.16 1.65739
1296.61 1748.4 0.985545
1301.27 1746.93 4.31186
1296.43 1748.26 0.94568
1296.46 1747.69 0.569593
1300.93 1749 4.20653
1300.72 1749.14 4.06428
1301.09 1746.14 4.30618
1301.27 1747.53 4.26662
1296.41 1747.87 0.695852
1301.06 1747.36 4.06136
1296.49 1745.04 2.51634
1297.95 1749.98 2.65926
1296.69 1745.81 1.71575
1300.61 1749.31 4.0335
1296.61 1747.9 0.559099
1296.61 1747.61 0.407118
1300.32 1749.34 3.79485
1301.08 1747.62 4.08297
1296.67 1747.52 0.332426
1298.45 1750 2.8867
1301.08 1746.33 4.24678
1300.78 1749.23 4.1592
1300.9 1749.04 4.19648
1296.43 1747.77 0.628539
1300.64 1749.11 3.98486
1301.02 1745.93 4.31195
1296.47 1746.78 0.892804
1296.63 1745.12 2.40846
1296.58 1748.55 1.13508
1296.39 1747.11 0.72327
1301 1747.63 4.00261
1301.15 1747.51 4.15189
1297.84 1749.95 2.59036
1301.06 1747.99 4.09407
1300.66 1749.27 4.06799
1298.07 1749.91 2.63986
1300.91 1748.39 4.00566
1300.93 1748.74 4.1191
1296.51 1747.36 0.510147
1296.52 1746.4 1.20051
1301.15 1746.09 4.38435
1300.42 1749.4 3.91248
1301.01 1748.26 4.08132
1300.76 1748.75 3.96674
1297.74 1749.74 2.35834
1299.16 1750.04 3.33515
1301.16 1745.63 4.56318
1300.37 1749.4 3.86358
1296.68 1745.55 1.98066
1301.04 1748.6 4.18647
1296.68 1747.01 0.581794
1301.26 1747.84 4.27609
1296.47 1747.13 0.651586
1298.69 1750.2 3.18798
1296.54 1744.92 2.61866
1301 1747 4.03474
1298.3 1749.91 2.73409
1300.13 1749.56 3.75002
1300.88 1745.07 4.57859
1297.32 1749.52 2.04095
1301.26 1745.67 4.63489
1296.43 1748.19 0.895822
1300.23 1749.69 3.9017
1301.01 1746.6 4.10757
1300.8 1748.93 4.06258
1301.3 1745.15 4.90068
1300.71 1749.19 4.07995
1301.06 1747.25 4.06256
1298.01 1750.06 2.74937
1301.24 1747.82 4.25307
1299.88 1749.81 3.69106
1301.2 1747.64 4.20438
1301.19 1745.73 4.55192
1300.25 1749.53 3.83207
1296.43 1745.15 2.42128
1297.23 1749.38 1.89805
1297.35 1749.7 2.22906
1300.87 1748.7 4.0504
1299.4 1750.15 3.57396
1297.74 1749.91 2.52444
1300.94 1748.28 4.01593
1296.82 1748.89 1.4065
1298.89 1750.19 3.28999
1300.2 1749.74 3.90619
1298.45 1750.04 2.9263
1300.73 1749.19 4.09009
1296.55 1747.67 0.485743
1301.18 1746.69 4.2601
1296.51 1745.63 1.93221
1296.63 1746.14 1.41131
1298.33 1750.02 2.85035
1297.71 1749.7 2.3107
1298.59 1749.93 2.90592
1296.6 1746.74 0.861384
1296.88 1748.69 1.19969
1301.21 1746.81 4.2681
1297.31 1749.31 1.84026
1296.46 1747.86 0.645225
1298.78 1750.08 3.13205
1301.28 1746.66 4.36308
1299.38 1750.16 3.56793
1298.99 1749.93 3.14067
1297.04 1749.29 1.78686
1296.61 1746.21 1.3455
1296.42 1745.85 1.74619
1299.82 1749.74 3.6045
1299.48 1750.11 3.60573
1298.99 1750.16 3.31989
1299.18 1749.9 3.24786
1297.11 1749.23 1.73432
1297.97 1749.99 2.67359
1301 1747.61 4.0038
1299.69 1750.05 3.70858
1300.19 1749.61 3.82337
1300.41 1749.61 4.01155
1296.64 1747.42 0.365624
1301.09 1746.99 4.12491
1296.42 1746.01 1.6011
1299.73 1749.95 3.67165
1301.11 1747.44 4.10645
1296.55 1746.28 1.29806
1301.17 1746.6 4.27004
1301.06 1745.72 4.43322
1300.23 1749.53 3.81392
1297.04 1749.43 1.93164
1296.85 1745.19 2.31819
1298.86 1750.19 3.27509
1299.58 1750.02 3.61185
1300.86 1748.54 3.99269
1301.15 1748.31 4.22386
1296.57 1748.02 0.672431
