x y z state
1300.56 890.569 1749.05 1
1300.86 888.426 1748.32 1
1300.99 888.375 1748.11 1
1300.79 891.908 1747.82 1
1298.9 903.443 1749.79 1
1296.3 877.532 1745.61 1
1297.41 878.794 1749.52 1
1299.44 902.318 1748.47 1
1301.1 888.033 1747.83 1
1299.96 880.342 1749.44 1
1300.99 888.037 1747.62 1
1296.27 877.575 1745.71 1
1296.25 877.545 1745.74 1
1300.6 890.548 1749.02 1
1300.91 888.382 1748.3 1
1300.75 876.632 1748.07 1
1300.68 890.61 1748.94 1
1296.3 877.32 1745.8 1
1301.03 888.476 1748.32 1
1300.92 891.938 1747.65 1
1301.11 887.978 1747.68 1
1300.71 891.899 1747.82 1
1300.76 891.946 1747.76 1
1301.02 888.081 1747.94 1
1301.04 887.906 1747.6 1
1296.26 877.437 1745.95 1
1301.1 888.108 1747.86 1
1301.12 888.067 1747.65 1
1300.93 892.058 1747.69 1
1301.08 887.969 1747.64 1
1300.97 888.431 1748.15 1
1301.04 887.839 1747.89 1
1299.84 880.246 1749.5 1
1300.78 891.902 1747.79 1
1296.45 877.551 1745.83 1
1296.35 877.399 1745.93 1
1296.28 877.341 1745.87 2
1300.8 892.047 1747.7 1
1296.3 877.37 1745.9 1
1295.91 895.062 1748.62 1
1296.26 877.42 1745.99 1
1297.45 878.762 1749.46 1
1300.71 876.595 1747.94 1
1300.6 890.449 1749.02 1
1300.83 876.59 1747.88 1
1295.83 895.105 1748.58 2
1300.71 892.006 1747.7 1
1300.99 887.751 1747.74 1
1300.81 891.948 1747.81 1
1296.4 877.542 1745.61 1
1298.92 903.534 1749.67 1
1295.86 895.136 1748.56 2
1296.81 865.467 1749.4 1
1300.8 876.584 1747.92 1
1297.32 878.867 1749.37 1
1300.94 888.442 1748.2 1
1301.01 888.443 1748.18 1
1296.22 877.217 1745.84 1
1297.48 878.788 1749.44 1
1301.14 887.956 1747.78 1
1300.8 876.691 1747.92 1
1295.9 895.234 1748.47 1
