x y z type diam age
1298.68 860.221 1746.67 1 0.0389859 4664.1
1294.09 860.104 1748.19 1 0.0365311 4665.1
1297.29 909.764 1750.46 1 0.0402094 4665.1
1296.16 909.806 1751.06 1 0.0390584 4665.1
1297.37 909.609 1750.43 1 0.0398371 4665.1
1298.18 909.632 1747.55 1 0.0382444 4665.1
1297.88 909.544 1749.79 1 0.0428259 4665.1
1298.05 909.768 1749.37 1 0.0374869 4665.1
1293.88 860.253 1747.64 1 0.037428 4666.1
1297.13 909.607 1750.67 1 0.0394297 4666.1
1296.58 909.892 1750.94 1 0.0368169 4666.1
1297.98 909.671 1749.53 1 0.0407033 4666.1
1298.12 909.784 1748.4 1 0.0380601 4666.1
1297.22 860.198 1749.02 1 0.0368775 4666.1
1297.24 860.177 1749.05 1 0.0376122 4666.1
1298.65 860.258 1745.48 1 0.0402413 4666.1
1293.72 860.34 1745.94 1 0.0378537 4666.1
1298.64 860.223 1746.86 1 0.0405911 4666.1
1296.61 860.267 1749.21 1 0.036922 4667.1
1297.41 860.26 1748.94 1 0.0381389 4667.1
1297.38 909.567 1750.43 1 0.0398371 4667.1
1298.18 909.651 1748.74 1 0.0389665 4667.1
1296.68 909.727 1750.91 1 0.0384766 4667.1
1293.71 860.204 1746.32 1 0.0370705 4667.1
1293.68 860.147 1745.42 1 0.0380134 4667.1
1298.03 909.7 1749.37 1 0.0365778 4667.1
1294.88 860.333 1748.85 1 0.0370382 4667.1
1297.48 909.592 1750.35 1 0.0378966 4667.1
1296.34 860.188 1749.27 1 0.0378782 4667.1
1296.93 860.232 1749.17 1 0.0382043 4668.1
1294.58 860.328 1748.68 1 0.0363875 4668.1
1293.2 909.766 1748.93 1 0.0382585 4668.1
1296.12 909.809 1751.05 1 0.0390584 4668.1
1295.57 909.577 1751.13 1 0.0365187 4668.1
1293.86 860.283 1747.61 1 0.037428 4669.1
1298.17 909.631 1748.7 1 0.036803 4669.1
1296.27 909.854 1751.01 1 0.0408984 4669.1
1298.15 909.616 1748.73 1 0.0389665 4669.1
