x y z
1301.31 884.925 1747.38
1301.3 885.526 1747.34
1301.3 885.375 1747.39
1301.29 885.976 1747.36
1301.3 885.826 1747.41
1301.29 886.426 1747.38
1301.29 886.276 1747.43
1301.27 886.877 1747.39
1301.28 886.727 1747.44
1301.26 887.327 1747.41
1301.26 887.177 1747.46
1301.25 887.778 1747.43
1301.25 887.628 1747.48
1301.23 888.228 1747.44
1301.23 888.078 1747.49
1301.21 888.679 1747.46
1301.21 888.529 1747.51
1301.19 889.129 1747.48
1301.19 888.979 1747.53
1301.17 889.58 1747.49
1301.17 889.429 1747.54
1301.14 890.03 1747.51
1301.15 889.88 1747.56
1301.12 890.48 1747.53
1301.12 890.33 1747.58
1301.09 890.931 1747.55
1301.1 890.781 1747.6
1301.06 891.381 1747.56
1301.07 891.231 1747.61
1301.02 891.832 1747.58
1301.03 891.682 1747.63
1300.99 892.282 1747.6
1301 892.132 1747.65
1300.96 892.733 1747.61
1300.97 892.583 1747.66
1300.93 893.033 1747.68
1301.31 885.075 1747.49
1301.31 884.925 1747.54
1301.3 885.526 1747.51
1301.3 885.375 1747.56
1301.29 885.976 1747.53
1301.29 885.826 1747.58
1301.28 886.426 1747.54
1301.29 886.276 1747.59
1301.27 886.877 1747.56
1301.27 886.727 1747.61
1301.26 887.327 1747.58
1301.26 887.177 1747.63
1301.24 887.778 1747.59
1301.25 887.628 1747.64
1301.23 888.228 1747.61
1301.23 888.078 1747.66
1301.21 888.679 1747.63
1301.21 888.529 1747.68
1301.19 889.129 1747.64
1301.19 888.979 1747.69
1301.16 889.58 1747.66
1301.17 889.429 1747.71
1301.14 890.03 1747.68
1301.15 889.88 1747.73
1301.11 890.48 1747.7
1301.12 890.33 1747.75
1301.08 890.931 1747.71
1301.09 890.781 1747.76
1301.05 891.381 1747.73
1301.06 891.231 1747.78
1301.02 891.832 1747.75
1301.03 891.682 1747.8
1300.99 892.282 1747.76
1301 892.132 1747.81
1300.95 892.733 1747.78
1300.96 892.583 1747.83
1300.92 893.183 1747.8
1300.93 893.033 1747.85
1300.89 893.483 1747.86
1301.3 885.075 1747.66
1301.3 884.925 1747.71
1301.3 885.526 1747.68
1301.3 885.375 1747.73
1301.29 885.976 1747.69
1301.29 885.826 1747.74
1301.28 886.426 1747.71
1301.28 886.276 1747.76
1301.27 886.877 1747.73
1301.27 886.727 1747.78
1301.26 887.327 1747.74
1301.26 887.177 1747.79
1301.24 887.778 1747.76
1301.24 887.628 1747.81
1301.22 888.228 1747.78
1301.23 888.078 1747.83
1301.2 888.679 1747.8
1301.21 888.529 1747.85
1301.18 889.129 1747.81
1301.19 888.979 1747.86
1301.16 889.58 1747.83
1301.17 889.429 1747.88
1301.14 890.03 1747.85
1301.14 889.88 1747.9
1301.11 890.48 1747.86
1301.12 890.33 1747.91
1301.08 890.931 1747.88
1301.09 890.781 1747.93
1301.05 891.381 1747.9
1301.06 891.231 1747.95
1301.02 891.832 1747.91
1301.03 891.682 1747.96
1300.99 892.282 1747.93
1301 892.132 1747.98
1300.95 892.733 1747.95
1300.96 892.583 1748
1300.91 893.183 1747.96
1300.92 893.033 1748.01
1300.87 893.634 1747.98
1300.89 893.483 1748.03
1300.85 893.934 1748.05
1301.3 885.075 1747.83
1301.3 884.925 1747.88
1301.29 885.526 1747.84
1301.29 885.375 1747.89
1301.29 885.976 1747.86
1301.29 885.826 1747.91
1301.28 886.426 1747.88
1301.28 886.276 1747.93
1301.27 886.877 1747.89
1301.27 886.727 1747.94
1301.25 887.327 1747.91
1301.25 887.177 1747.96
1301.24 887.778 1747.93
1301.24 887.628 1747.98
1301.22 888.228 1747.94
1301.22 888.078 1747.99
1301.2 888.679 1747.96
1301.2 888.529 1748.01
1301.18 889.129 1747.98
1301.18 888.979 1748.03
1301.16 889.58 1748
1301.16 889.429 1748.05
1301.13 890.03 1748.01
1301.14 889.88 1748.06
1301.11 890.48 1748.03
1301.11 890.33 1748.08
1301.08 890.931 1748.05
1301.08 890.781 1748.1
1301.05 891.381 1748.06
1301.06 891.231 1748.11
1301.02 891.832 1748.08
1301.02 891.682 1748.13
1300.98 892.282 1748.1
1300.99 892.132 1748.15
1300.95 892.733 1748.11
1300.96 892.583 1748.16
1300.91 893.183 1748.13
1300.92 893.033 1748.18
1300.87 893.634 1748.15
1300.88 893.483 1748.2
1300.83 894.084 1748.17
1300.84 893.934 1748.22
1300.8 894.384 1748.23
1301.29 885.075 1747.99
1301.29 884.925 1748.04
1301.28 885.526 1748.01
1301.28 885.375 1748.06
1301.28 885.976 1748.03
1301.27 885.826 1748.08
1301.27 886.426 1748.04
1301.26 886.276 1748.09
1301.26 886.877 1748.06
1301.25 886.727 1748.11
1301.24 887.327 1748.08
1301.24 887.177 1748.13
1301.23 887.778 1748.09
1301.23 887.628 1748.14
1301.21 888.228 1748.11
1301.21 888.078 1748.16
1301.19 888.679 1748.13
1301.19 888.529 1748.18
1301.17 889.129 1748.15
1301.17 888.979 1748.2
1301.15 889.58 1748.16
1301.15 889.429 1748.21
1301.12 890.03 1748.18
1301.12 889.88 1748.23
1301.1 890.48 1748.2
1301.1 890.33 1748.25
1301.07 890.931 1748.21
1301.07 890.781 1748.26
1301.04 891.381 1748.23
1301.04 891.231 1748.28
1301.01 891.832 1748.25
1301.01 891.682 1748.3
1300.97 892.282 1748.26
1300.98 892.132 1748.31
1300.94 892.733 1748.28
1300.94 892.583 1748.33
1300.9 893.183 1748.3
1300.9 893.033 1748.35
1300.86 893.634 1748.32
1300.87 893.483 1748.36
1300.82 894.084 1748.33
1300.83 893.934 1748.38
1300.77 894.535 1748.35
1300.78 894.384 1748.4
1300.74 894.835 1748.42
1301.27 885.075 1748.16
1301.26 884.925 1748.21
1301.26 885.526 1748.18
1301.26 885.375 1748.23
1301.26 885.976 1748.19
1301.25 885.826 1748.24
1301.25 886.426 1748.21
1301.24 886.276 1748.26
1301.23 886.877 1748.23
1301.23 886.727 1748.28
1301.22 887.327 1748.24
1301.22 887.177 1748.29
1301.21 887.778 1748.26
1301.2 887.628 1748.31
1301.19 888.228 1748.28
1301.18 888.078 1748.33
1301.17 888.679 1748.29
1301.17 888.529 1748.34
1301.15 889.129 1748.31
1301.15 888.979 1748.36
1301.13 889.58 1748.33
1301.12 889.429 1748.38
1301.1 890.03 1748.34
