x z sxx syy szz sxy sxz syz
1312.59 1763.52 -867584 -1.02458e+06 -1.75218e+06 -180360 -332723 62214.8
1312.58 1763.53 -867362 -1.02552e+06 -1.75248e+06 -180631 -333134 62033.8
1312.58 1763.53 -867175 -1.02654e+06 -1.75297e+06 -180948 -333577 61850.2
1312.58 1763.54 -867021 -1.02765e+06 -1.75367e+06 -181313 -334051 61664.4
1312.58 1763.54 -866716 -1.0328e+06 -1.75957e+06 -181085 -335391 61523.1
1313.33 1764.43 -862357 -1.01698e+06 -1.74127e+06 -177475 -331105 62465.3
1313.33 1764.44 -862117 -1.01777e+06 -1.74132e+06 -177675 -331453 62287.4
1313.33 1764.44 -861913 -1.01865e+06 -1.74157e+06 -177917 -331829 62106.9
1313.33 1764.45 -861982 -1.02473e+06 -1.74915e+06 -178421 -333503 61815.6
1313.32 1764.45 -861850 -1.02576e+06 -1.74978e+06 -178746 -333932 61632.8
1314.11 1765.39 -861096 -1.01413e+06 -1.73751e+06 -175848 -330053 62762.6
1314.11 1765.4 -860819 -1.01475e+06 -1.73729e+06 -175967 -330329 62589.6
1314.11 1765.4 -860374 -1.01969e+06 -1.74259e+06 -175438 -331524 62463.3
1314.11 1765.4 -860169 -1.02046e+06 -1.74275e+06 -175636 -331850 62287
1314.11 1765.4 -859994 -1.02129e+06 -1.74306e+06 -175867 -332197 62109.4
1314.93 1766.4 -854002 -1.00496e+06 -1.72262e+06 -172392 -327172 62868.3
1314.93 1766.4 -853284 -1.00647e+06 -1.72215e+06 -171981 -327565 62689.5
1314.93 1766.4 -851166 -1.00923e+06 -1.72502e+06 -171166 -328382 62545.8
1314.93 1766.41 -851005 -1.0099e+06 -1.72502e+06 -171303 -328654 62376.8
1314.93 1766.41 -850872 -1.01064e+06 -1.72515e+06 -171469 -328944 62206.6
1315.79 1767.46 -847773 -996860 -1.70747e+06 -167652 -324304 63201.5
1315.79 1767.46 -845274 -999059 -1.70986e+06 -167873 -325079 62739.9
1315.79 1767.46 -845003 -999461 -1.70938e+06 -167893 -325249 62579.2
1315.79 1767.46 -844758 -999914 -1.70901e+06 -167937 -325434 62417.1
1315.79 1767.46 -844538 -1.00042e+06 -1.70876e+06 -168005 -325635 62254.1
1310.12 1761.82 -867513 -1.0233e+06 -1.74417e+06 -181664 -332610 61314.3
1310.12 1761.83 -867383 -1.02464e+06 -1.74526e+06 -182124 -333165 61140.8
1310.12 1761.84 -868673 -1.02879e+06 -1.74654e+06 -183121 -334017 60870.6
1310.12 1761.84 -868658 -1.03037e+06 -1.74822e+06 -183696 -334651 60699.8
1310.12 1761.85 -868676 -1.03203e+06 -1.7501e+06 -184324 -335321 60527.7
1310.74 1762.65 -865760 -1.02008e+06 -1.73958e+06 -180328 -331785 61478
1310.74 1762.66 -865635 -1.02133e+06 -1.74052e+06 -180731 -332294 61307.5
1310.74 1762.66 -865549 -1.02268e+06 -1.74167e+06 -181187 -332839 61135
1310.73 1762.67 -863978 -1.02209e+06 -1.73753e+06 -181305 -333084 60797.6
1310.73 1762.67 -866152 -1.02873e+06 -1.74677e+06 -182634 -334915 60776.2
1311.38 1763.52 -864015 -1.01676e+06 -1.73483e+06 -178900 -330866 61660.5
1311.38 1763.53 -863881 -1.01789e+06 -1.73557e+06 -179237 -331322 61493.7
1311.38 1763.53 -864791 -1.02138e+06 -1.7406e+06 -180136 -332494 61437.5
1311.38 1763.54 -863120 -1.02053e+06 -1.73593e+06 -180147 -332652 61096
1311.37 1763.54 -863124 -1.02197e+06 -1.73739e+06 -180634 -333205 60923.5
1312.06 1764.43 -859818 -1.01173e+06 -1.72851e+06 -177369 -330250 61807.6
1312.06 1764.44 -863143 -1.01661e+06 -1.73456e+06 -178160 -330935 61815.5
1312.05 1764.44 -863006 -1.01766e+06 -1.7352e+06 -178462 -331350 61647.1
1312.05 1764.45 -862907 -1.01879e+06 -1.73604e+06 -178807 -331792 61477.1
1312.05 1764.45 -860868 -1.01889e+06 -1.73126e+06 -178381 -332104 61111.4
1312.77 1765.39 -853208 -1.00157e+06 -1.71147e+06 -173960 -327032 61964
1312.76 1765.4 -857595 -1.00827e+06 -1.72206e+06 -175060 -329086 62031.6
1312.76 1765.4 -857432 -1.00916e+06 -1.72246e+06 -175292 -329437 61866.7
1312.76 1765.4 -856902 -1.01115e+06 -1.72298e+06 -175138 -330001 61677.9
1312.76 1765.4 -855067 -1.00984e+06 -1.7175e+06 -174971 -330003 61335.8
1313.51 1766.4 -851313 -997741 -1.70574e+06 -172171 -325706 62193.3
1313.51 1766.4 -851123 -998447 -1.70579e+06 -172300 -325983 62039.4
1313.51 1766.4 -850493 -1.00016e+06 -1.70578e+06 -171997 -326440 61862.7
1313.51 1766.41 -850384 -1.00099e+06 -1.70617e+06 -172204 -326757 61705
1313.51 1766.41 -850308 -1.0019e+06 -1.70672e+06 -172440 -327095 61546.4
1314.29 1767.46 -848325 -993725 -1.69976e+06 -169469 -324344 62474.2
1314.29 1767.46 -840853 -988056 -1.68682e+06 -167191 -322939 61986.7
1314.29 1767.46 -840679 -988646 -1.68675e+06 -167305 -323165 61833.3
1314.29 1767.46 -840537 -989298 -1.68683e+06 -167445 -323408 61679
1314.29 1767.46 -840813 -993631 -1.69312e+06 -167415 -324473 61601.3
1309.05 1761.82 -864512 -1.01662e+06 -1.72822e+06 -182001 -330924 60631.1
1309.05 1761.83 -863213 -1.0176e+06 -1.7273e+06 -182137 -331476 60377.8
1309.04 1761.84 -864420 -1.0221e+06 -1.73272e+06 -182918 -332641 60272.3
1309.04 1761.84 -864484 -1.02382e+06 -1.73469e+06 -183508 -333288 60114.4
1309.04 1761.85 -864583 -1.02562e+06 -1.73685e+06 -184146 -333967 59955.7
1309.6 1762.65 -863435 -1.0148e+06 -1.72721e+06 -179277 -330597 61133.5
1309.6 1762.66 -861780 -1.014e+06 -1.72263e+06 -179298 -330759 60805.6
1309.6 1762.66 -861796 -1.01554e+06 -1.72425e+06 -179804 -331332 60646.7
1309.59 1762.67 -864820 -1.02202e+06 -1.73183e+06 -181258 -332555 60561.2
1309.59 1762.67 -864911 -1.02372e+06 -1.73384e+06 -181852 -333184 60402.6
1310.18 1763.52 -861304 -1.01081e+06 -1.72094e+06 -177738 -329591 61269.9
1310.18 1763.53 -859598 -1.00984e+06 -1.71603e+06 -177681 -329689 60943.7
1310.17 1763.53 -859618 -1.01128e+06 -1.71751e+06 -178129 -330214 60788.7
1310.17 1763.54 -859682 -1.01282e+06 -1.7192e+06 -178625 -330770 60632.3
1310.17 1763.54 -859786 -1.01445e+06 -1.7211e+06 -179167 -331356 60475
1310.78 1764.43 -859172 -1.00673e+06 -1.71453e+06 -176126 -328494 61418.4
1310.78 1764.44 -859092 -1.00788e+06 -1.71541e+06 -176447 -328920 61266
1310.78 1764.44 -857403 -1.00687e+06 -1.71051e+06 -176363 -328989 60942.9
1310.78 1764.45 -857455 -1.00829e+06 -1.712e+06 -176790 -329487 60790.8
1310.78 1764.45 -858504 -1.01198e+06 -1.7176e+06 -177754 -330684 60744.9
1311.42 1765.39 -849059 -992897 -1.69221e+06 -173017 -325288 61180.9
1311.42 1765.4 -853489 -999697 -1.70307e+06 -174171 -327366 61254
1311.42 1765.4 -852606 -1.00058e+06 -1.70153e+06 -174468 -328030 61042.7
1311.42 1765.4 -852616 -1.00183e+06 -1.70273e+06 -174818 -328458 60890.3
1311.42 1765.4 -852219 -1.00412e+06 -1.70389e+06 -174775 -329093 60705.4
1312.09 1766.4 -847393 -989931 -1.68775e+06 -170871 -324239 61627.4
1312.09 1766.4 -847292 -990828 -1.68823e+06 -171069 -324560 61483.5
1312.09 1766.4 -845366 -989252 -1.68228e+06 -170771 -324451 61161.1
1312.09 1766.41 -845392 -990389 -1.68331e+06 -171055 -324829 61017.8
1312.09 1766.41 -844942 -992440 -1.68411e+06 -170907 -325374 60843.3
1312.79 1767.46 -845075 -985450 -1.68068e+06 -168995 -322737 61800.3
1312.79 1767.46 -844924 -986183 -1.6809e+06 -169126 -322996 61660.9
1312.79 1767.46 -844812 -986994 -1.6813e+06 -169287 -323273 61520.7
1312.79 1767.46 -842262 -986048 -1.67454e+06 -168417 -323227 61172.3
1312.79 1767.46 -842274 -987053 -1.67544e+06 -168663 -323552 61032.3
1307.97 1761.82 -860378 -1.0096e+06 -1.71484e+06 -182874 -332385 60647
1307.97 1761.83 -860383 -1.01119e+06 -1.71649e+06 -183337 -332924 60492.5
1307.97 1761.84 -860553 -1.01523e+06 -1.7193e+06 -182958 -333553 60403.9
1307.96 1761.84 -860686 -1.01704e+06 -1.72148e+06 -183535 -334155 60249.6
1307.96 1761.85 -860855 -1.01893e+06 -1.72385e+06 -184156 -334785 60093.9
1308.46 1762.65 -857914 -1.00497e+06 -1.70667e+06 -180440 -330851 60820.1
1308.46 1762.66 -856647 -1.00588e+06 -1.70571e+06 -180524 -331338 60577.8
1308.46 1762.66 -856764 -1.00755e+06 -1.70763e+06 -181025 -331885 60428.1
1308.45 1762.67 -858147 -1.01223e+06 -1.71354e+06 -181817 -332999 60328.4
1308.45 1762.67 -858356 -1.0141e+06 -1.7159e+06 -182406 -333602 60177.7
1308.97 1763.52 -854051 -999446 -1.69612e+06 -176541 -327449 60410.4
1308.97 1763.53 -854107 -1.00093e+06 -1.69769e+06 -176971 -327962 60268
1308.97 1763.53 -854217 -1.00253e+06 -1.69952e+06 -177453 -328506 60124.4
1308.97 1763.54 -854378 -1.00424e+06 -1.70159e+06 -177984 -329081 59979.9
1308.97 1763.54 -856480 -1.0082e+06 -1.70625e+06 -179233 -329784 59866.3
1309.51 1764.43 -854117 -997155 -1.6918e+06 -174106 -326601 60852.1
1309.51 1764.44 -854153 -998510 -1.6932e+06 -174487 -327060 60712.9
1309.51 1764.44 -854242 -999982 -1.69484e+06 -174916 -327548 60572.5
1309.51 1764.45 -854383 -1.00156e+06 -1.69674e+06 -175392 -328066 60431
1309.51 1764.45 -854571 -1.00324e+06 -1.69885e+06 -175912 -328610 60288.5
1310.08 1765.39 -843365 -982281 -1.66723e+06 -170805 -323264 60559.1
1310.08 1765.4 -847050 -987731 -1.67466e+06 -171722 -324049 60612.2
1310.08 1765.4 -851535 -994678 -1.68591e+06 -172953 -326138 60688.3
1310.07 1765.4 -851664 -996141 -1.68762e+06 -173367 -326599 60551.6
1310.07 1765.4 -851841 -997703 -1.68956e+06 -173822 -327085 60413.9
1310.67 1766.4 -840572 -977060 -1.65842e+06 -168922 -321792 60660.9
1310.67 1766.4 -840615 -978228 -1.65954e+06 -169196 -322165 60533
1310.67 1766.4 -840714 -979508 -1.6609e+06 -169512 -322563 60404.3
1310.67 1766.41 -840865 -980892 -1.6625e+06 -169869 -322984 60274.8
1310.67 1766.41 -841064 -982374 -1.66432e+06 -170262 -323428 60144.6
1311.3 1767.46 -837563 -971351 -1.64877e+06 -166232 -319936 60934.7
1311.3 1767.46 -837560 -972355 -1.64963e+06 -166444 -320250 60810.9
1311.3 1767.46 -837607 -973459 -1.65071e+06 -166694 -320584 60686.3
1311.3 1767.46 -838516 -976622 -1.65551e+06 -167401 -321559 60672.9
1311.29 1767.46 -838274 -979222 -1.65743e+06 -168035 -322357 60331
1306.89 1761.82 -855954 -1.00057e+06 -1.69662e+06 -181046 -330208 60170.3
1306.89 1761.83 -856047 -1.00229e+06 -1.69856e+06 -181527 -330759 60031
1306.89 1761.84 -858582 -1.01056e+06 -1.7091e+06 -182675 -332934 60106.3
1306.89 1761.84 -858749 -1.01243e+06 -1.71144e+06 -183249 -333524 59959.6
1306.88 1761.85 -858951 -1.01439e+06 -1.71396e+06 -183865 -334139 59811.3
1307.32 1762.65 -852905 -995161 -1.68713e+06 -179252 -329043 60203.3
1307.32 1762.66 -853028 -996838 -1.68905e+06 -179710 -329569 60068.6
1307.32 1762.66 -854334 -1.00202e+06 -1.69559e+06 -180570 -331158 60097.7
1307.31 1762.67 -855800 -1.00688e+06 -1.70188e+06 -181379 -332277 60009.5
1307.31 1762.67 -856061 -1.00884e+06 -1.70446e+06 -181977 -332873 59866.6
1307.77 1763.52 -849936 -989536 -1.67674e+06 -176532 -327318 60353.8
1307.77 1763.53 -848727 -990395 -1.67581e+06 -176580 -327757 60128.8
1307.76 1763.53 -851375 -996159 -1.68494e+06 -177755 -329338 60262.9
1307.76 1763.54 -851621 -997976 -1.6873e+06 -178290 -329881 60125.4
1307.76 1763.54 -851917 -999901 -1.68988e+06 -178870 -330451 59986.6
1308.24 1764.43 -843277 -980343 -1.66028e+06 -173363 -325717 60273.3
1308.24 1764.44 -843461 -981910 -1.66215e+06 -173774 -326185 60149.2
1308.24 1764.44 -846112 -987605 -1.67122e+06 -174902 -327737 60291.8
1308.23 1764.45 -846379 -989379 -1.67355e+06 -175408 -328248 60158.7
1308.23 1764.45 -848650 -993528 -1.67872e+06 -176651 -328892 60054.1
1308.73 1765.39 -837621 -970774 -1.64212e+06 -169257 -320483 59747.4
1308.73 1765.4 -837834 -972292 -1.64395e+06 -169643 -320940 59632.6
1308.73 1765.4 -842302 -979241 -1.65529e+06 -170900 -323003 59711.8
1308.73 1765.4 -844994 -984957 -1.66449e+06 -172023 -324531 59855.8
1308.73 1765.4 -845311 -986770 -1.667e+06 -172546 -325045 59728.2
1309.25 1766.4 -833429 -963204 -1.62921e+06 -166008 -318957 59951.9
1309.25 1766.4 -833603 -964583 -1.63084e+06 -166342 -319361 59839.9
1309.25 1766.4 -836209 -970018 -1.63955e+06 -167338 -320804 59997.8
1309.25 1766.41 -836485 -971630 -1.64171e+06 -167769 -321251 59878.4
1309.25 1766.41 -836821 -973364 -1.64414e+06 -168243 -321722 59757.8
1309.8 1767.46 -830113 -957156 -1.61858e+06 -163993 -317323 59998.2
1309.8 1767.46 -830247 -958393 -1.61999e+06 -164273 -317673 59889.9
1309.8 1767.46 -832813 -963679 -1.62847e+06 -165199 -319059 60056.1
1309.8 1767.46 -833048 -965142 -1.63041e+06 -165568 -319446 59941
1309.8 1767.46 -833340 -966722 -1.63261e+06 -165978 -319856 59824.8
1305.45 1761.06 -858011 -1.01241e+06 -1.70757e+06 -186143 -334155 59117.2
1305.81 1761.82 -850891 -990568 -1.67574e+06 -180379 -328312 59539.9
