x z pbsig pbstate
1296.65 1747.2 187.159 3
1296.61 1747.22 25.3347 3
1296.6 1747.21 -128.023 3
1296.64 1747.83 36.2795 3
1296.64 1747.79 458.221 3
1296.6 1747.83 207.633 3
1296.66 1745.74 20.5395 3
1296.66 1745.74 52.23 3
1296.66 1745.81 -273.269 3
1300.92 1748.96 -715.58 3
1301.09 1745.1 -776.934 3
1296.5 1747.81 -220.21 3
1296.44 1747.79 922.689 3
1296.52 1747.82 -561.869 3
1296.52 1747.78 797.651 3
1296.89 1749.09 26.4761 3
1296.89 1749.09 71.4638 3
1296.93 1749.08 191.941 3
1301.27 1745.9 3658.01 3
1301.27 1745.93 226.624 3
1301.26 1745.96 -944.004 3
1301.28 1745.95 26.4743 3
1296.59 1748.3 32.4587 3
1296.56 1747.32 700.227 3
1296.56 1747.35 -367.68 3
1296.53 1747.3 161.488 3
1299.41 1750.01 44.6804 3
1299.42 1750.01 81.258 3
1299.44 1749.97 -188.444 3
1299.47 1749.99 121.645 3
1299.41 1749.98 -131.811 3
1297.34 1749.49 -67.7619 3
1297.29 1749.52 64.7352 3
1297.29 1749.5 -12.9651 3
1297.32 1749.47 28.7052 3
1297.31 1749.47 179.446 3
1300.8 1748.7 685.079 3
1296.57 1746.92 -321.63 3
1296.5 1746.92 252.084 3
1296.54 1746.94 177.903 3
1301.13 1745.94 99.5186 3
1301.08 1745.93 253.472 3
1298.18 1749.9 84.4636 3
1298.15 1749.87 -438.041 3
1299.99 1749.79 105.386 3
1298.85 1749.96 -331.573 3
1298.8 1749.96 -325.258 3
1298.84 1749.93 85.0437 3
1298.84 1749.97 -567.777 3
1299.32 1749.95 69.221 3
1299.33 1749.92 -517.226 3
1299.36 1749.97 -22.0198 3
1296.66 1745.15 -681.85 3
1296.63 1745.18 -60.6107 3
1296.64 1745.15 -559.778 3
1296.64 1745.22 -240.133 3
1297.15 1749.17 485.543 3
1297.12 1749.16 25.2735 3
1297.09 1749.16 135.984 3
1297.13 1749.15 10.4428 3
1296.44 1746.95 600.314 3
1296.41 1746.96 313.333 3
1296.41 1746.97 335.483 3
1296.64 1747.44 308.003 3
1296.67 1747.4 94.8597 3
1296.67 1747.37 65.9771 3
1296.64 1747.42 127.65 3
1301.07 1745.08 119.959 3
